Idx,prompts,domain_sequence,domain_count
21,"Hydropower is considered one of the renewable sources of energy that could replace fossil fuels. Find information about the efficiency of hydropower, the technology behind it and any consequences building hydroelectric dams could have on the environment.","www.energy.gov, en.wikipedia.org, www.eia.gov, www.britannica.com, www.hydropower.org",5
22,"Amidst all the discussions about gun violence and gun control, you decided to find out whether gun control is a good remedy for mitigating gun violence, and whether banning certain types of guns would be something constitutional. Find web pages about gun control and its effects on gun violence.","www.pewresearch.org, abcnews.go.com, www.wsbtv.com",3
23,"In 1996, Martin Bryant of Hobart, Australia, killed 35 and wounded 23 at the Port Arthur prison colony. Find information about gun homicides in Australia before and after the shooting as well as resources that attempt to determine the effect of the Port Arthur Massacre on gun crime in Australia.","www.google.com, www.sydney.edu.au, www.sbs.com.au, www.factcheck.org",4
24,A friend has just advised you not to drink Red Bull. You are curious about what the side effects of Red Bull are? What are its health concerns? Which of its ingredients are problematic? What countries have banned the use of Red Bull? You also want to find information about US laws proposing a ban on drinks like Red Bull.,"www.healthline.com, chachingqueen.com, www.snopes.com, pmc.ncbi.nlm.nih.gov",4
25,You would like to buy a dehumidifier. You want to know what makes a dehumidifier good value for money. Find web pages that will help you do so.,"thedehumidifierexperts.com, buyersguide.org, www.goodhousekeeping.com",3
26,"Suppose you'd like to take a week-long vacation. Research some possible destinations. How do they compare in terms of cost (travel + room and board + entertainment), value (things to do), and feasibility (ease of getting there)?","wanderingswithbri.com, www.thediscoveriesof.com, www.goabroad.com, www.expedia.com, www.aruba.com",5
27,You would like to buy a dehumidifier. What are some of the technical specifications you should be looking at? What is the price range for dehumidifiers? What makes one dehumidifier more expensive than another?,"www.condair.com, www.amazon.com, www.google.com",3
28,"A ""designer dog"" is a cross between two purebred dogs of two different breeds. ""Designer"" dogs are sometimes bred for practical purposes, but critics say they are more often bred as status symbols. Find resources describings pros and cons of the practice of crossing purebred dogs.","animalreport.net, www.google.com, duckduckgo.com, www.smallanimalclinic.com, www.smalldogplace.com, doggieconnect.com",6
29,Where is Bollywood located? From what foreign city did Bollywood derive its name? What is the Bollywood equivalent of Beverly Hills? What is Bollywood's equivalent of the Oscars? Where does Bollywood rank in the world's film industries? Who are some of the Bollywood stars?,"www.nfi.edu, www.wonderopolis.org, www.worldatlas.com",3
30,A friend from Kenya is visiting you and you'd like to surprise him with by cooking a traditional Swahili dish. You would like to search online to decide which dish you will cook at home.,"africageographic.com, www.commonground.coop, www.tuko.co.ke, www.foodandthefabulous.com, linguafonica.com",5
31,"You want to know about Churchill Downs. Some of the things you want to know include: the racing schedule at Churchill Downs, the seating chart, the breeders cup races, the Kentucky Derby museum.","www.google.com, www.churchilldowns.com, www.kentuckyderby.com, www.ticketmaster.com, chromewebdata",5
32,"Suppose you're planning a trip to the United States. You will be there for a month and able to travel within a 150-mile radius of your destination. With that constraint, what are the best cities to consider as possible destinations?","milesofme.com, www.citypass.com, www.timeout.com",3
33,A friends of yours mentioned that glass and scientific advances have gone hand-in-hand throughout history with many notable examples such as Edison's light bulb. You want to collection some information about scientific glassblowing throughout the centuries.,"glassblowingforbeginners.com, libguides.cmog.org, eqipped.com, glassshop.yale.edu, worldscientific.com",5
34,"You live in Connecticut and are considering a career move and being in the fire service interests you. You want to find out more about the Connecticut Fire Academy, what's involved in the training, where you need to go to attend training sessions and what kinds of skills you will develop during the programme","support.microsoft.com, www.ct.gov, www.google.com, www.firehero.org, www.yahoo.com, search.yahoo.com, portal.ct.gov, cfa.acadisonline.com",8
35,"Merck and Co. is one of the largest pharmaceutical companies in the world, and a major lobbyist in Washington D.C. Find information about specific legislation or policies Merck has lobbied for or against. How has Merck's lobbying affected US policy?","www.opensecrets.org, nlpc.org, www.propublica.org, www.google.com, www.lobbyingdata.com, www.britannica.com, www.cnbc.com, drugstorenews.com, www.statnews.com",8
36,"Portugal, Spain, Ireland, Greece, and Cyprus are some of the countries that have experienced severe economic downturns during the ongoing Eurozone crisis. What actions are political leaders in Europe taking to resolve their respective economic troubles? How are these actions meant to help?","www.investopedia.com, european-union.europa.eu, www.reuters.com, worldpopulationreview.com, en.wikipedia.org",5
37,What is silicone roof coating? What is it best for? What are other solutions regarding roof coating? What is the best material to use if the purpose is cooling down the roof so that the house temperature remains low?,"rightchoiceroofs.com, www.google.com, www.energystar.gov, www.coolroofs.org, www.roofingcontractor.com, www.americanweatherstar.com",6
38,"Suppose you are a high school student looking to apply for a State University of New York (SUNY) college. You desire to know how many SUNY colleges there are and their names, which ones offer a bioinformatics degree, which ones offer athletic scholarships, which ones offer international student scholarships, where is SUNY Albany hospital located, reports of SUNY Plattsburgh athletics.","blog.prepscholar.com, www.google.com, www.oldwestbury.edu, www.sunyorangefoundation.org",4
39,What are the causes of the ongoing Eurozone crisis? What are some of the possible long-term effects? How are political and financial leaders responding to it?,"en.wikipedia.org, www.google.com, www.britannica.com, www.investopedia.com, www.reuters.com, www.cnbc.com, www.theguardian.com",7
40,"What are typical developmental milestones for infants age 0-12 months in East Asian countries (for example, China, South Korea, Japan, Thailand, etc)","ph.theasianparent.com, www.pregnancyandbaby.com.sg, www.google.com, kidsclinic.sg, theinspiredtreehouse.com, www.smartparenting.com.ph",6
41,"As a young information technology entrepreneur, you are looking for information about how to succeed in your new venture. Find web pages that will help you make good decisions running your business.","www.entrepreneur.com, www.captechu.edu, online.hbs.edu, www.keiseruniversity.edu, www.careerexplorer.com",5
