Idx,prompts,domain_sequence,domain_count
21,"Hydropower is considered one of the renewable sources of energy that could replace fossil fuels. Find information about the efficiency of hydropower, the technology behind it and any consequences building hydroelectric dams could have on the environment.","www.energy.gov, dap.digitalgov.gov, www.clean-energy-ideas.com, atb.nrel.gov",4
22,"Amidst all the discussions about gun violence and gun control, you decided to find out whether gun control is a good remedy for mitigating gun violence, and whether banning certain types of guns would be something constitutional. Find web pages about gun control and its effects on gun violence.","www.rand.org, news.columbia.edu, www.law.columbia.edu",3
23,"In 1996, Martin Bryant of Hobart, Australia, killed 35 and wounded 23 at the Port Arthur prison colony. Find information about gun homicides in Australia before and after the shooting as well as resources that attempt to determine the effect of the Port Arthur Massacre on gun crime in Australia.","www.democracynow.org, www.googleoptimize.com, www.sydney.edu.au, snippet.maze.co, www.youtube.com",5
24,A friend has just advised you not to drink Red Bull. You are curious about what the side effects of Red Bull are? What are its health concerns? Which of its ingredients are problematic? What countries have banned the use of Red Bull? You also want to find information about US laws proposing a ban on drinks like Red Bull.,"rvo-cohesion.healthline.com, pub.doubleverify.com, www.healthline.com, traveler.content.now.optum.com, www.eatthis.com, cmp.inmobi.com, embeds.beehiiv.com, client.px-cloud.net, dejittr.com, www.youtube.com, faves.grow.me",11
25,You would like to buy a dehumidifier. You want to know what makes a dehumidifier good value for money. Find web pages that will help you do so.,"www.aireserv.com, www.datadoghq-browser-agent.com, searchg2.crownpeak.net, crostorage.z21.web.core.windows.net, tags.srv.stackadapt.com, consumerfiles.com, www.makeuseof.com, static0.makeuseofimages.com, www.sylvane.com, vcc-na7.8x8.com, shopper.shop.pe",11
26,"Suppose you'd like to take a week-long vacation. Research some possible destinations. How do they compare in terms of cost (travel + room and board + entertainment), value (things to do), and feasibility (ease of getting there)?","www.nomadicmatt.com, media.nomadicmatt.com, exchange.mediavine.com, faves.grow.me, btloader.com, pghub.io, m.media-amazon.com, s.ntv.io, www.nextinsure.com, snippet.affilimate.io, www.expedia.com, aam.a47b.com, gogojapan.cc, images.unsplash.com, www.midnightblueelephant.com, eijfa9g4ivj.exactdn.com, s.skimresources.com, emrldco.com, www.viator.com, dd.viator.com, htlb.casalemedia.com, www.budgetyourtrip.com, qd.admetricspro.com, live.primis.tech, www.kayak.com, public.servenobid.com, a.ad.gt, p.ad.gt, cti.w55c.net",29
27,You would like to buy a dehumidifier. What are some of the technical specifications you should be looking at? What is the price range for dehumidifiers? What makes one dehumidifier more expensive than another?,"www.consumerreports.org, article.images.consumerreports.org, mt.consumerreports.org, w.usabilla.com, m.media-amazon.com, images-na.ssl-images-amazon.com, www.amazon.com, www.homedepot.com, s.go-mpulse.net, client.px-cloud.net, apionline.homedepot.com, prod2-live-chat.sprinklr.com, www.uline.com, resources.xg4ken.com, www.sc.pages05.net, www.youtube.com, c.riskified.com, www.walmart.com, i5.walmartimages.com, i5.wal.co",20
28,"A ""designer dog"" is a cross between two purebred dogs of two different breeds. ""Designer"" dogs are sometimes bred for practical purposes, but critics say they are more often bred as status symbols. Find resources describings pros and cons of the practice of crossing purebred dogs.","www.dummies.com, cmp.osano.com, cnstrc.com, get.s-onetag.com, www.jennaleedoodles.com, www.vetstreet.com, s.skimresources.com, snippet.affilimate.io, www.thesprucepets.com, btloader.com, ak.sail-horizon.com, g.3gl.net, aim-tag.hcn.health, tru.am, www.medtargetsystem.com, www.peta.org",16
29,Where is Bollywood located? From what foreign city did Bollywood derive its name? What is the Bollywood equivalent of Beverly Hills? What is Bollywood's equivalent of the Oscars? Where does Bollywood rank in the world's film industries? Who are some of the Bollywood stars?,"en.wikipedia.org, upload.wikimedia.org",2
30,A friend from Kenya is visiting you and you'd like to surprise him with by cooking a traditional Swahili dish. You would like to search online to decide which dish you will cook at home.,"htlbid.com, bidpapers.com, www.tuko.co.ke, cmp.inmobi.com, edge.aditude.io, comments.tuko.co.ke, www.youtube.com, syndicatedsearch.goog, raven-edge.aditude.io, onesignal.com",10
31,"You want to know about Churchill Downs. Some of the things you want to know include: the racing schedule at Churchill Downs, the seating chart, the breeders cup races, the Kentucky Derby museum.","www.churchilldowns.com, servedbyadbutler.com, www.gofevo.com, www.kentuckyderby.com, t.contentsquare.net, churchilldowns.io-media.com, iomvvservice001.io-virtualvenue.com, www.derbymuseum.org, unpkg.com, starling.crowdriff.com, player.vimeo.com",11
32,"Suppose you're planning a trip to the United States. You will be there for a month and able to travel within a 150-mile radius of your destination. With that constraint, what are the best cities to consider as possible destinations?","planneratheart.com, d9.flashtalking.com, code.getmdl.io, prebid.production.adthrive.com, pbs-raptive-us.ay.delivery, assets-jpcust.jwpsrv.com, pghub.io, btlr.sharethrough.com, g2.gumgum.com, c.gumgum.com, attentionxyz.com, htlb.casalemedia.com, vast.doubleverify.com, vpaid.doubleverify.com, groundcontrol.rendering.sharethrough.com",15
33,A friends of yours mentioned that glass and scientific advances have gone hand-in-hand throughout history with many notable examples such as Edison's light bulb. You want to collection some information about scientific glassblowing throughout the centuries.,syndetics.com,1
34,"You live in Connecticut and are considering a career move and being in the fire service interests you. You want to find out more about the Connecticut Fire Academy, what's involved in the training, where you need to go to attend training sessions and what kinds of skills you will develop during the programme","portal.ct.gov, egov.ct.gov, scfa-li.org, legacy.cccti.edu, csfa.org, www.nvfc.org, www.middlesexcountyfireschool.org",7
35,"Merck and Co. is one of the largest pharmaceutical companies in the world, and a major lobbyist in Washington D.C. Find information about specific legislation or policies Merck has lobbied for or against. How has Merck's lobbying affected US policy?","www.opensecrets.org, account.unpri.org, www.citizen.org, tags.srv.stackadapt.com, act.citizen.org",5
36,"Portugal, Spain, Ireland, Greece, and Cyprus are some of the countries that have experienced severe economic downturns during the ongoing Eurozone crisis. What actions are political leaders in Europe taking to resolve their respective economic troubles? How are these actions meant to help?","en.wikipedia.org, upload.wikimedia.org, maps.wikimedia.org, www.ft.com, consent-notice.ft.com, bloomreach.ft.com, consent-manager.ft.com, ft.coral.coralproject.net, public.flourish.studio, www.theguardian.com, i.guim.co.uk, sourcepoint.theguardian.com",12
37,What is silicone roof coating? What is it best for? What are other solutions regarding roof coating? What is the best material to use if the purpose is cooling down the roof so that the house temperature remains low?,"www.americanweatherstar.com, searchlocalroofers.com, blog.architizer.com, tru.am, architizer.com, architizer-prod.imgix.net",6
