Unnamed: 0,prompts,reconstructed_prompt,sbert_similarity,llm_judge_similarity,original_prompt_triplets,reconstructed_prompt_triplets,obels_functional_equivalence,obels_domain_type_equivalence,obels_semantic_equivalence,obels_entity_granularity_tolerance
0,A friend from Kenya is visiting you and you'd like to surprise him with by cooking a traditional Swahili dish. You want to learn about Swahili dishes and how to cook them. Find web pages about Swahili home cooking.,You are planning a trip to Tanzania. You want to know about the food culture in the country. You want to know what types of food are popular in Tanzania. You want to know if you can find restaurants that serve Tanzanian food. You want to know if there are any Tanzanian dishes that you should try. You want to know if there are any good Tanzanian food blogs or videos.,0.640727698802948,0.3,"[
  (""learn"", ""cuisine"", ""Swahili dishes""),
  (""get_info"", ""cooking_method"", ""Swahili home cooking"")
]","1. (plan, travel, Tanzania)
2. (learn, cuisine, food culture in Tanzania)
3. (explore, cuisine, popular food in Tanzania)
4. (get_info, restaurant, restaurants serving Tanzanian food)
5. (learn, cuisine, Tanzanian dishes to try)
6. (explore, media, Tanzanian food blogs)
7. (explore, media, Tanzanian food videos)",0.8,0.8,0.6,0.7
1,"You want to know what city and state Dulles airport is in; what shuttles, ride-sharing vans, and taxi cabs connect the airport to other cities; what hotels are close to the airport; where cheap off-airport parking is; and where metro stops close to Dulles airport are.","You're looking for a place to stay in Washington, D.C. for one night. You're planning to take a flight out of Washington Reagan National Airport (DCA) the next day. You want to find a hotel or lodging with a free shuttle to the airport.",0.31927964091300964,0.3,"[
  (""get_info"", ""airport"", ""Dulles airport""),
  (""get_info"", ""transportation"", ""shuttles""),
  (""get_info"", ""transportation"", ""ride-sharing vans""),
  (""get_info"", ""transportation"", ""taxi cabs""),
  (""get_info"", ""accommodation"", ""hotels near Dulles airport""),
  (""get_info"", ""parking"", ""cheap off-airport parking""),
  (""get_info"", ""public_transport"", ""metro stops near Dulles airport"")
]","1. (""explore"", ""accommodation"", ""hotel in Washington, D.C. with free shuttle to DCA"")
2. (""plan"", ""travel"", ""flight out of Washington Reagan National Airport (DCA) the next day"")",0.8,0.7,0.5,0.6
2,Suppose you have earned a Masters degree in Business. You want to find information to help you decide whether it is worth getting a PhD in Business or not. Find web pages that will help with a cost/benefit analysis of advanced education in Business.,"You are a scientist who has been tasked with designing a new educational program for high school students. The program is to be called ""Science for All"" and its goal is to provide students with a broad understanding of the sciences. You have been given a list of domains visited by a web agent during a browsing session. Your task is to reconstruct the most plausible **original user prompt** that would have caused the agent to visit these domains. This prompt should reflect the likely information need or task of the user, as inferred from the domains.",0.1359861046075821,0.0,"[
  (""decide"", ""academic_field"", ""PhD in Business""),
  (""analyze"", ""academic_field"", ""advanced education in Business""),
  (""get_info"", ""web_pages"", ""cost/benefit analysis"")
]","1. (""plan"", ""educational_program"", ""Science for All"")
2. (""learn"", ""science"", ""broad understanding"")",0.5,0.4,0.5,0.6
3,"Your friend would like to quit smoking. You would like to provide him with relevant information about: different ways to quit smoking, programs available to help quit smoking, benefits of quitting smoking, second effects of quitting smoking, using hypnosis to quit smoking, using the cold turkey method to quit smoking",What are the symptoms and effects of smoking? How does it affect the body? What are the risks of smoking? What are the effects of smoking on health? How does smoking affect the lungs? What are the risks of smoking on the lungs? What are the effects of smoking on the heart? What are the risks of smoking on the heart? What are the effects of smoking on the brain? What are the risks of smoking on the brain? What are the effects of smoking on the liver? What are the risks of smoking on the liver? What are the effects of smoking on the skin? What are the risks of smoking on the skin? What are the effects of smoking on the teeth? What are the risks of smoking on the teeth? What are the effects of smoking on the eyes? What are the risks of smoking on the eyes? What are the effects of smoking on the throat? What are the risks of smoking on the throat? What are the effects of smoking on the mouth? What are the risks of smoking on the mouth? What are the effects of smoking on the tongue? What are the risks of smoking on the tongue? What are the effects of smoking on the gums? What are the risks of smoking on the gums? What are the effects of smoking on,0.5639777779579163,0.2,"[
  (""learn"", ""treatment_method"", ""different ways to quit smoking""),
  (""learn"", ""program"", ""programs available to help quit smoking""),
  (""learn"", ""benefit"", ""benefits of quitting smoking""),
  (""analyze"", ""effect"", ""second effects of quitting smoking""),
  (""learn"", ""treatment_method"", ""using hypnosis to quit smoking""),
  (""learn"", ""treatment_method"", ""using the cold turkey method to quit smoking"")
]","```plaintext
[
    (""learn"", ""symptom"", ""smoking""),
    (""analyze"", ""effect"", ""body""),
    (""analyze"", ""risk"", ""smoking""),
    (""analyze"", ""effect"", ""health""),
    (""analyze"", ""effect"", ""lungs""),
    (""analyze"", ""risk"", ""lungs""),
    (""analyze"", ""effect"", ""heart""),
    (""analyze"", ""risk"", ""heart""),
    (""analyze"", ""effect"", ""brain""),
    (""analyze"", ""risk"", ""brain""),
    (""analyze"", ""effect"", ""liver""),
    (""analyze"", ""risk"", ""liver""),
    (""analyze"", ""effect"", ""skin""),
    (""analyze"", ""risk"", ""skin""),
    (""analyze"", ""effect"", ""teeth""),
    (""analyze"", ""risk"", ""teeth""),
    (""analyze"", ""effect"", ""eyes""),
    (""analyze"", ""risk"", ""eyes""),
    (""analyze"", ""effect"", ""throat""),
    (""analyze"", ""risk"", ""throat""),
    (""analyze"", ""effect"", ""mouth""),
    (""analyze"", ""risk"", ""mouth""),
    (""analyze"", ""effect"", ""tongue""),
    (""analyze"", ""risk"", ""tongue""),
    (""analyze"", ""effect"", ""gums""),
    (""analyze"", ""risk"", ""gums"")
]
```",0.5,0.5,0.4,0.6
4,Suppose you are writing an article about face transplants. You want general information about face transplants and how face transplants affect the lives of patients. Find web pages about face transplants.,How can you get an organ transplant? What are the most common types of organ transplants? What are the different types of organs that are transplanted? What are some of the most common organ transplant surgeries?,0.4395368993282318,0.2,"[
  (""get_info"", ""medical_procedure"", ""face transplants""),
  (""analyze"", ""medical_procedure"", ""impact on patients' lives""),
  (""explore"", ""web_pages"", ""face transplants"")
]","[
  (""learn"", ""treatment_method"", ""organ transplant""),
  (""learn"", ""treatment_method"", ""types of organ transplants""),
  (""learn"", ""treatment_method"", ""different types of organs transplanted""),
  (""learn"", ""treatment_method"", ""common organ transplant surgeries"")
]",0.8,0.8,0.5,0.6
5,One of your friends from Kenya invited you to attend a party in his house and have a taste of traditional Swahili dishes. You would like to find some general information about Swahili dishes. Find web pages that describe traditional Swahili dishes.,"You want to know the meaning of the word 'matooke'. You are looking for a definition, a pronunciation, or any other information that you can find.",0.11918139457702637,0.1,"[
  (""get_info"", ""cuisine"", ""traditional Swahili dishes""),
  (""explore"", ""web pages"", ""traditional Swahili dishes"")
]","[
  (""get_info"", ""language"", ""matooke""),
  (""target"", ""definition"", ""matooke""),
  (""target"", ""pronunciation"", ""matooke"")
]",0.8,0.5,0.4,0.3
6,"In 2000, the Russian nuclear submarine Kursk sank in the Barents Sea. You want to try to understand: How did the political climate in Russia at the time contribute to the accident and exarcerbate its effects? Find web pages that explain how the sinking related to Russian politics.","You are looking for information about the Russian Navy. You want to know about its history, its role in the world, its relationships with other countries, and its military capabilities. You also want to know about the different types of ships that the Russian Navy has, and how it has changed over time.",0.4412856698036194,0.2,"[
  (""analyze"", ""event"", ""Kursk submarine sinking""),
  (""learn"", ""political climate"", ""Russia 2000""),
  (""get_info"", ""web pages"", ""Kursk sinking and Russian politics"")
]","[
  (""learn"", ""military"", ""Russian Navy""),
  (""analyze"", ""military"", ""history of the Russian Navy""),
  (""analyze"", ""military"", ""role of the Russian Navy in the world""),
  (""analyze"", ""military"", ""relationships of the Russian Navy with other countries""),
  (""analyze"", ""military"", ""military capabilities of the Russian Navy""),
  (""explore"", ""military"", ""types of ships in the Russian Navy""),
  (""analyze"", ""military"", ""changes in the Russian Navy over time"")
]",0.8,0.6,0.5,0.7
7,"You heard something about a Russian submarine Kursk sinking today, and want to search to know more details about this event. When did the submarine sink? Who was the on-board commander of the submarine? The submarine was part of which Russian fleet? How many crewmen were lost in the disaster? Which countries expressed regret about the loss? In what sea did the submarine sink? Which U.S. submarines were reportedly in the area?",You want to know about the Barents Sea. What are some notable events that happened there?,0.44716665148735046,0.0,"[
  (""learn"", ""event"", ""Kursk submarine sinking""),
  (""get_info"", ""event"", ""date of sinking""),
  (""get_info"", ""event"", ""on-board commander""),
  (""get_info"", ""event"", ""Russian fleet""),
  (""get_info"", ""event"", ""number of crewmen lost""),
  (""get_info"", ""event"", ""countries expressing regret""),
  (""get_info"", ""event"", ""sea of sinking""),
  (""get_info"", ""event"", ""U.S. submarines in the area"")
]","[
  (""learn"", ""event"", ""Barents Sea""),
  (""get_info"", ""event"", ""notable events in Barents Sea"")
]",0.8,1.0,0.5,0.6
8,"""Bollywood"", the film industry based in Mumbai, India, is one of the biggest and still fastest-growing film industries in the world. What policies and legislation has the government of India enacted to encourage its continued growth? Find web pages about the growth of Bollywood and its relation to Indian politics.","You are looking for information about the Indian film industry. You want to know how it is structured, what are the key players, and how it is regulated. You are also interested in learning about the economic importance of the industry and its impact on the country. You want to know what are the key laws and regulations that govern the industry, and how they are enforced. You also want to know what are the key challenges faced by the industry and how it is addressing them. You are looking for information about the industry's history, its current state, and its future prospects. You are also interested in learning about the role of the government in regulating the industry and how it is promoting it.",0.5348302721977234,0.6,"[
  (""learn"", ""film_industry"", ""Bollywood""),
  (""analyze"", ""policy_area"", ""government policies on Bollywood growth""),
  (""get_info"", ""web_pages"", ""growth of Bollywood and Indian politics"")
]","[
  (""learn"", ""film_industry"", ""Indian film industry""),
  (""analyze"", ""film_industry"", ""structure of the Indian film industry""),
  (""explore"", ""film_industry"", ""key players in the Indian film industry""),
  (""analyze"", ""film_industry"", ""regulation of the Indian film industry""),
  (""learn"", ""film_industry"", ""economic importance of the Indian film industry""),
  (""analyze"", ""film_industry"", ""impact of the Indian film industry on the country""),
  (""learn"", ""film_industry"", ""key laws governing the Indian film industry""),
  (""analyze"", ""film_industry"", ""enforcement of regulations in the Indian film industry""),
  (""analyze"", ""film_industry"", ""key challenges faced by the Indian film industry""),
  (""explore"", ""film_industry"", ""how the Indian film industry is addressing challenges""),
  (""learn"", ""film_industry"", ""history of the Indian film industry""),
  (""analyze"", ""film_industry"", ""current state of the Indian film industry""),
  (""explore"", ""film_industry"", ""future prospects of the Indian film industry""),
  (""learn"", ""film_industry"", ""role of government in regulating the Indian film industry""),
  (""analyze"", ""film_industry"", ""government promotion of the Indian film industry"")
]",0.8,1.0,0.7,0.9
9,"Suppose you are writing an essay about a tax on ""junk food"". In your essay, you need to argue whether it's a good idea for a government to tax junk food and high-calorie snacks. Find web pages supporting an argument in favor of a junk food tax.","You want to know how to eat right. You want to know the best foods to eat, how to eat them, and how much to eat. You want to know how to get the most nutrition from the foods you eat. You want to know how to eat a balanced diet. You want to know how to get the nutrients you need to stay healthy. You want to know how to eat for optimal health. You want to know how to eat to feel good. You want to know how to eat to be healthy. You want to know how to eat right.",0.15457478165626526,0.0,"[
  (""learn"", ""policy_area"", ""junk food tax""),
  (""explore"", ""argument"", ""supporting junk food tax""),
  (""get_info"", ""web_page"", ""arguments for junk food tax"")
]","[
  (""learn"", ""nutrition"", ""best foods to eat""),
  (""learn"", ""nutrition"", ""how to eat them""),
  (""learn"", ""nutrition"", ""how much to eat""),
  (""learn"", ""nutrition"", ""how to get the most nutrition""),
  (""learn"", ""nutrition"", ""how to eat a balanced diet""),
  (""learn"", ""nutrition"", ""how to get the nutrients needed for health""),
  (""learn"", ""nutrition"", ""how to eat for optimal health""),
  (""learn"", ""nutrition"", ""how to eat to feel good""),
  (""learn"", ""nutrition"", ""how to eat to be healthy""),
  (""learn"", ""nutrition"", ""how to eat right"")
]",0.5,0.2,0.4,0.5
10,Do infants age 0-12 months experience different developmental milestones depending on culture?,"You are looking for information about how to prevent and treat language delays in children. You want to find the best resources and information available, including articles, websites, and other sources. You are looking for information that is accurate, reliable, and relevant to your needs.",0.3022993505001068,0.1,"[
  (""learn"", ""developmental_milestones"", ""infants 0-12 months""),
  (""analyze"", ""cultural_influence"", ""developmental milestones"")
]","[
  (""learn"", ""treatment_method"", ""language delays in children""),
  (""get_info"", ""resources"", ""articles""),
  (""get_info"", ""resources"", ""websites""),
  (""get_info"", ""resources"", ""other sources""),
  (""evaluate"", ""information"", ""accuracy and reliability"")
]",0.8,0.5,0.4,0.6
11,"You would like to write a report about interesting weddings traditions of different cultures, religions, and ethnic groups. Find information about wedding ceremonies that you think are the most fascinating and different than what you are used to.",You are planning a wedding. You want to know about the origins of weddings. You want to know how long ago weddings were first practiced. You want to know about the earliest recorded wedding. You want to know how the institution of marriage has evolved over time.,0.6247825622558594,0.3,"[
  (""learn"", ""wedding traditions"", ""different cultures, religions, and ethnic groups""),
  (""get_info"", ""wedding ceremonies"", ""most fascinating and different traditions"")
]","[
  (""plan"", ""event"", ""wedding""),
  (""learn"", ""event"", ""origins of weddings""),
  (""learn"", ""event"", ""how long ago weddings were first practiced""),
  (""learn"", ""event"", ""earliest recorded wedding""),
  (""analyze"", ""event"", ""evolution of the institution of marriage"")
]",0.8,0.6,0.5,0.7
12,"France won its first (and only) World Cup in 1998. Find information about the reaction of French people and institutions (such as stock markets), and studies about these reactions.","You are looking for information about the french revolution. You want to know about the causes and effects of the revolution, the main figures and events, and how it influenced modern society. You are also interested in the current state of the country and its economy.",0.5624176263809204,0.0,"[
  (""get_info"", ""event"", ""France World Cup 1998""),
  (""analyze"", ""reaction"", ""French people and institutions""),
  (""learn"", ""study"", ""reactions to France World Cup 1998"")
]","[
  (""learn"", ""historical_event"", ""French Revolution""),
  (""analyze"", ""historical_event"", ""causes and effects of the French Revolution""),
  (""explore"", ""historical_event"", ""main figures and events of the French Revolution""),
  (""analyze"", ""historical_event"", ""influence of the French Revolution on modern society""),
  (""get_info"", ""country"", ""current state of France""),
  (""get_info"", ""economy"", ""current state of the French economy"")
]",0.8,0.6,0.5,0.7
13,"For a philosophy assignment, you need to compare evidence that supports the existence of God to evidence that supports the naturalism theory, and infer whether God exists or not. Find web pages to help support your argument.",You are looking for information about the existence of God. You want to find out if there is any evidence that would support or refute the existence of God. You want to know if there are any scientific or philosophical arguments that would support or refute the existence of God. You want to know if there are any books or articles that discuss the existence of God. You want to know if there are any experts or organizations that have studied the existence of God. You want to know if there are any debates or discussions about the existence of God.,0.6308559775352478,0.6,"[
  (""compare"", ""philosophy"", ""evidence for the existence of God""),
  (""compare"", ""philosophy"", ""evidence for naturalism theory""),
  (""analyze"", ""philosophy"", ""existence of God""),
  (""get_info"", ""web pages"", ""supporting arguments"")
]","[
  (""learn"", ""philosophy"", ""existence of God""),
  (""analyze"", ""evidence"", ""existence of God""),
  (""explore"", ""arguments"", ""existence of God""),
  (""get_info"", ""literature"", ""books about the existence of God""),
  (""get_info"", ""literature"", ""articles about the existence of God""),
  (""get_info"", ""experts"", ""experts on the existence of God""),
  (""get_info"", ""organizations"", ""organizations studying the existence of God""),
  (""explore"", ""debates"", ""discussions about the existence of God"")
]",0.8,0.6,0.7,0.9
14,"For economic reasons, you wish to switch from regular phones to internet phone services. You want to know: the best internet phone services, the cheapest internet phone services, the providers of VOIP internet phone services, features that great VOIP services have, providers that offer free calls from the US to some European countries, expert reviews about VOIP providers.",What is VoIP? What are the benefits and drawbacks of VoIP? How does VoIP work? What is the best VoIP service for me?,0.6576339602470398,0.4,"[
  (""explore"", ""internet_phone_services"", ""best internet phone services""),
  (""compare"", ""internet_phone_services"", ""cheapest internet phone services""),
  (""get_info"", ""VOIP_providers"", ""providers of VOIP internet phone services""),
  (""analyze"", ""VOIP_services"", ""features that great VOIP services have""),
  (""get_info"", ""VOIP_providers"", ""providers that offer free calls from the US to some European countries""),
  (""learn"", ""VOIP_providers"", ""expert reviews about VOIP providers"")
]","[
  (""learn"", ""technology"", ""VoIP""),
  (""analyze"", ""technology"", ""benefits and drawbacks of VoIP""),
  (""explore"", ""technology"", ""how VoIP works""),
  (""compare"", ""service"", ""best VoIP service"")
]",0.8,0.6,0.5,0.7
15,"In your attempt to get fit, you are looking for information on what possibilities (types of physical exercises, diets, etc...) will help you achieve your fitness goal. Find web pages about different weight loss possibilities.",You want to know about the market size of the global medical aesthetic market.,0.1106417253613472,0.0,"[
  (""explore"", ""fitness"", ""physical exercises""),
  (""explore"", ""fitness"", ""diets""),
  (""get_info"", ""weight_loss"", ""possibilities"")
]","[  
  (""learn"", ""market"", ""global medical aesthetic market"")  
]",0.2,0.2,0.0,0.0
16,A friend has been complaining for months that she is unhappy with her life. She has also mentioned that she can't easily sleep at nights. You think that she may be suffering from depression. You want to understand if this is the case and how you could assist her in getting some help from medical professionals.,What are the common symptoms of schizophrenia? What are some of the most common treatments for schizophrenia?,0.23279964923858643,0.0,"[
  (""analyze"", ""symptom"", ""depression""),
  (""learn"", ""treatment_method"", ""assistance from medical professionals"")
]","[
  (""learn"", ""symptom"", ""schizophrenia""),
  (""learn"", ""treatment_method"", ""schizophrenia"")
]",0.5,0.8,0.4,0.5
