Idx,prompts,domain_sequence,domain_count
1,A friend from Kenya is visiting you and you'd like to surprise him with by cooking a traditional Swahili dish. You want to learn about Swahili dishes and how to cook them. Find web pages about Swahili home cooking.,"africageographic.com, www.tuko.co.ke, cookpad.com, www.commonground.coop, swahilimagic.com",5
2,"You want to know what city and state Dulles airport is in; what shuttles, ride-sharing vans, and taxi cabs connect the airport to other cities; what hotels are close to the airport; where cheap off-airport parking is; and where metro stops close to Dulles airport are.","www.flydulles.com, www.google.com, www.marriott.com, www.expedia.com, www.tripadvisor.com, www.kayak.com, spothero.com, chromewebdata, www.wmata.com, www.mwaa.com",10
3,Suppose you have earned a Masters degree in Business. You want to find information to help you decide whether it is worth getting a PhD in Business or not. Find web pages that will help with a cost/benefit analysis of advanced education in Business.,"www.admit.me, helpfulprofessor.com, www.hbs.edu, www.waldenu.edu, www.researchgate.net, catalog.utdallas.edu",6
4,"Your friend would like to quit smoking. You would like to provide him with relevant information about: different ways to quit smoking, programs available to help quit smoking, benefits of quitting smoking, second effects of quitting smoking, using hypnosis to quit smoking, using the cold turkey method to quit smoking","www.cdc.gov, www.lung.org, www.webmd.com, www.mdanderson.org, www.heart.org",5
5,Suppose you are writing an article about face transplants. You want general information about face transplants and how face transplants affect the lives of patients. Find web pages about face transplants.,"www.yalemedicine.org, www.brighamandwomens.org, www.google.com, www.mayoclinic.org, my.clevelandclinic.org, www.health.harvard.edu, stanfordhealthcare.org",7
6,One of your friends from Kenya invited you to attend a party in his house and have a taste of traditional Swahili dishes. You would like to find some general information about Swahili dishes. Find web pages that describe traditional Swahili dishes.,"africageographic.com, www.tuko.co.ke, ling-app.medium.com, www.google.com, linguafonica.com",5
7,"In 2000, the Russian nuclear submarine Kursk sank in the Barents Sea. You want to try to understand: How did the political climate in Russia at the time contribute to the accident and exarcerbate its effects? Find web pages that explain how the sinking related to Russian politics.","www.cia.gov, www.history.co.uk, www.jstor.org, www.npr.org, www.usni.org, www.rferl.org, status.thinktogether.org",7
8,"You heard something about a Russian submarine Kursk sinking today, and want to search to know more details about this event. When did the submarine sink? Who was the on-board commander of the submarine? The submarine was part of which Russian fleet? How many crewmen were lost in the disaster? Which countries expressed regret about the loss? In what sea did the submarine sink? Which U.S. submarines were reportedly in the area?","www.navytimes.com, military.subscribers.com, www.google.com, www.warhistoryonline.com",4
9,"""Bollywood"", the film industry based in Mumbai, India, is one of the biggest and still fastest-growing film industries in the world. What policies and legislation has the government of India enacted to encourage its continued growth? Find web pages about the growth of Bollywood and its relation to Indian politics.","www.cnn.com, www.youtube.com, www.google.com, www.jetir.org",4
10,"Suppose you are writing an essay about a tax on ""junk food"". In your essay, you need to argue whether it's a good idea for a government to tax junk food and high-calorie snacks. Find web pages supporting an argument in favor of a junk food tax.","www.nutritionletter.tufts.edu, foodypage.com, www.luxwisp.com, pmc.ncbi.nlm.nih.gov, prospluscons.com",5
11,Do infants age 0-12 months experience different developmental milestones depending on culture?,"onlinelibrary.wiley.com, pmc.ncbi.nlm.nih.gov, babywhysandhows.com",3
12,"You would like to write a report about interesting weddings traditions of different cultures, religions, and ethnic groups. Find information about wedding ceremonies that you think are the most fascinating and different than what you are used to.","www.brides.com, khushmag.com, www.theknot.com, www.vogue.com, www.thetravel.com",5
13,"France won its first (and only) World Cup in 1998. Find information about the reaction of French people and institutions (such as stock markets), and studies about these reactions.","en.wikipedia.org, www.google.com, copilot.microsoft.com, theworld.org, www.youtube.com",5
14,"For a philosophy assignment, you need to compare evidence that supports the existence of God to evidence that supports the naturalism theory, and infer whether God exists or not. Find web pages to help support your argument.","www.cslewisinstitute.org, plato.stanford.edu, www.reasonablefaith.org, www.google.com, bigthink.com",5
15,"For economic reasons, you wish to switch from regular phones to internet phone services. You want to know: the best internet phone services, the cheapest internet phone services, the providers of VOIP internet phone services, features that great VOIP services have, providers that offer free calls from the US to some European countries, expert reviews about VOIP providers.","www.google.com, www.pcmag.com, www.techradar.com, www.tomsguide.com, www.cnet.com, www.digitaltrends.com, support.microsoft.com, ell.stackexchange.com",8
16,"In your attempt to get fit, you are looking for information on what possibilities (types of physical exercises, diets, etc...) will help you achieve your fitness goal. Find web pages about different weight loss possibilities.","www.cdc.gov, www.who.int, www.healthline.com, www.google.com",4
17,A friend has been complaining for months that she is unhappy with her life. She has also mentioned that she can't easily sleep at nights. You think that she may be suffering from depression. You want to understand if this is the case and how you could assist her in getting some help from medical professionals.,"www.mayoclinic.org, psychcentral.com, www.healthline.com, my.clevelandclinic.org, www.helpguide.org",
18,Pseudocyesis is the appearance of clinical and/or subclinical signs and symptoms associated with pregnancy when the organism is not actually pregnant. What are the recent advances in understanding the causes of this disorder?,"journaljammr.com, www.google.com, pmc.ncbi.nlm.nih.gov, scholar.google.com, link.springer.com",5
19,You are planning a winter vacation to the Pocono Mountains region in Pennsylvania in the US. Where will you stay? What will you do while there? How will you get there?,"www.poconomountains.com, lindaontherun.com, thefrenchmanor.com, www.phillymag.com",4
20,"You have decided that you want to reduce the use of air conditioning in your house. You've thought that if you could protect the roof being overly hot due to sun exposure, you could keep the house temperature low without the excessive use of air conditioning. Find information of whether this is possible and how it could be done.","www.wikihow.com, home.howstuffworks.com, thetopekaroofers.com, www.google.com",4
