Unnamed: 0,prompts,reconstructed_prompt,sbert_similarity,llm_judge_similarity,original_prompt_triplets,reconstructed_prompt_triplets,obels_functional_equivalence,obels_domain_type_equivalence,obels_semantic_equivalence,obels_entity_granularity_tolerance
0,"You want to find scientific publications on LHC (Large Hadron Collider (LHC)) collisions. Books or scientific video lectures are accepted, too. You want to study the most recent knowledge on the topic in depth. You expect scientific publications to be most helpful, including books (you might consider buying one), but scientific video lectures or encyclopedia might be interesting as well.","Find the final state of the CMS data (2017 dataset) and you are asked to find events that look like they produced a large jet. You are asked to find events where the jet was not produced on the CMS detector, you were asked to find events where the jet was produced on the CMS detector. You should find the jet events by looking for jets. You found jets. You should then look for events that contain a large jet and are not found on the CMS detector. You need to find events that contain a large jet. You found events that contain large jets. Is there a way you can find which event produced these jets? Are there any events that have not been recorded as well? These events were produced by jets. Did any of the jets have a high energy value?",0.2870895266532898,0.1,"1. (""learn"", ""scientific_publications"", ""LHC collisions"")
2. (""explore"", ""books"", ""LHC collisions"")
3. (""explore"", ""video_lectures"", ""LHC collisions"")
4. (""get_info"", ""encyclopedia"", ""LHC collisions"")","[
  (""analyze"", ""CMS data"", ""final state of the CMS data (2017 dataset)""),
  (""explore"", ""event"", ""events that produced a large jet""),
  (""explore"", ""event"", ""events where the jet was not produced on the CMS detector""),
  (""explore"", ""event"", ""events where the jet was produced on the CMS detector""),
  (""explore"", ""event"", ""jet events""),
  (""get_info"", ""event"", ""events that contain a large jet and are not found on the CMS detector""),
  (""explore"", ""event"", ""events that contain a large jet""),
  (""analyze"", ""event"", ""which event produced these jets""),
  (""get_info"", ""event"", ""events that have not been recorded""),
  (""analyze"", ""jet"", ""jets produced by events""),
  (""analyze"", ""jet"", ""jets with a high energy value"")
]",0.8,0.6,0.5,0.7
1,"You need information about (the pros and cons of) male circumcision You have to make a scientific overview of the latest knowledge on male circumcision, with evidence-based pros and cons, including medical, psychological, and social information. To this end, you first need to delve into the latest research, including papers, videos, books, pictures etc... Especially information on male circumcision itself is important, whereas for instance information solely focusing on the link between circumcision and HIV is less relevant.","You have a patient that is a young, uncircumcised boy from rural kenya. He is being brought to your office and you're trying to find out how to convince the parents. You are able to ask the patient for his views, but he does not speak english. How do you convince the parents to allow circumcision?",0.5063588619232178,0.2,"[
  (""learn"", ""medical"", ""male circumcision""),
  (""analyze"", ""research"", ""latest knowledge on male circumcision""),
  (""explore"", ""evidence"", ""pros and cons of male circumcision""),
  (""evaluate"", ""psychological"", ""impact of male circumcision""),
  (""evaluate"", ""social"", ""implications of male circumcision""),
  (""get_info"", ""research"", ""papers on male circumcision""),
  (""get_info"", ""media"", ""videos on male circumcision""),
  (""get_info"", ""literature"", ""books on male circumcision""),
  (""get_info"", ""visuals"", ""pictures related to male circumcision"")
]","[
  (""analyze"", ""patient_care"", ""circumcision""),
  (""get_info"", ""communication"", ""non-English speaking patient""),
  (""plan"", ""patient_engagement"", ""convincing parents"")
]",0.5,0.5,0.4,0.6
2,"You are looking for information about a z-machine You have no idea what a z-machine is, but the colleagues are talking about it in relation to nuclear energy; and you quickly want to get at least an idea of what it is. Most relevant are pages that cover the functionality of a Z-machine, like dedicated encyclopedia articles.",You are looking for a model that would predict the best fusion reactions and designs. You’d like to learn about designs that have higher performance than traditional reactors. You are particularly interested in the effects of wall collisions in the plasma. You can investigate the model using an online simulator with some degree of customization.,0.3315664529800415,0.0,"[
  (""get_info"", ""nuclear_energy"", ""z-machine""),
  (""target"", ""information_source"", ""encyclopedia articles"")
]","1. (""learn"", ""fusion_reactors"", ""designs with higher performance than traditional reactors"")
2. (""analyze"", ""fusion_reactors"", ""effects of wall collisions in plasma"")
3. (""explore"", ""simulation_tools"", ""online simulator with customization options"")",0.5,0.8,0.4,0.5
3,"You are looking for a thorough text review of Howl from Allen Ginsberg. You are intrigued by Howl from Ginsberg and want to know more about it. Detailed reviews are therefore most relevant. Besides that, you are also interested in background information about Howl and Ginsberg, which you consider somewhat less relevant than the reviews.","You want to find information about a 20th-century, politically aware, surrealist, feminist poem. You want to find one that embodies the aesthetics of the poetry, and you want to find information about the author and their background. You want to find a poem of good quality, which should be well-edited and properly formatted (for instance: one page, no margins, etc.).",0.3342083692550659,0.4,"[
  (""read"", ""literature"", ""Howl by Allen Ginsberg""),
  (""learn"", ""literature"", ""background information about Howl and Allen Ginsberg"")
]","1. (""learn"", ""poetry"", ""20th-century surrealist feminist poem"")
2. (""explore"", ""poetry"", ""poem aesthetics"")
3. (""get_info"", ""author"", ""author background"")
4. (""evaluate"", ""poetry"", ""poem quality"")
5. (""plan"", ""poetry"", ""poem formatting requirements"")",0.8,0.8,0.5,0.6
4,"You want to find information about engineering at linkedin. You have just graduated as an engineer, and made your LinkedIn account. You are now looking for information about engineering at LinkedIn. More specifically: you need to navigate to http://engineering.linkedin.com/, although related sites might be useful, too.","You are an academic working in the field of research. You are looking for information about the use of sentiment analysis to support business decision making. You are particularly interested in what techniques are being used in industry to make decisions about what content should be purchased and the relative importance of different indicators. You are looking for ways to compare the use of sentiment analysis in business to research. You are interested in business and academic research, but you have no specific interest in finding information from commercial vendors. You are not looking for a particular source, but rather for the general use of sentiment analysis in business. Your interests are more specifically related to the use of sentiment analysis to support business decision making.",0.23870722949504852,0.0,"[
  (""get_info"", ""engineering"", ""LinkedIn""),
  (""target"", ""website"", ""http://engineering.linkedin.com/"")
]","1. (""learn"", ""academic_field"", ""sentiment analysis"")
2. (""analyze"", ""business"", ""business decision making"")
3. (""explore"", ""business"", ""techniques used in industry"")
4. (""compare"", ""business"", ""sentiment analysis vs research"")
5. (""get_info"", ""business"", ""importance of different indicators"")",0.8,0.6,0.5,0.5
5,"You are looking for audiobooks by Raymond E Feist. You need to read a book from that author, but you don't know what the options are, and you don't like reading. Hence, you are looking for audiobooks: which ones are available, and where to buy them. Most important are results that provide them for sale or for download. However, pages about the correct audiobooks are also highly relevant, even when you cannot directly download or buy them on the site.","You want to look for a specific audiobook series by an author who publishes on Audible, Amazon, Barnes and Noble and other sources. You're looking for *The Librarian* or *The Black Library* series.",0.834754467010498,0.3,"[
  (""explore"", ""audiobook"", ""Raymond E Feist""),
  (""get_info"", ""audiobook"", ""available options""),
  (""decide"", ""purchase"", ""where to buy audiobooks"")
]","[
  (""explore"", ""audiobook_series"", ""The Librarian""),
  (""explore"", ""audiobook_series"", ""The Black Library"")
]",0.8,1.0,0.5,0.6
6,"You want to know what an M/G/1 queue is. You've come across that term, and want to know what it means. Results that specifically focus on 'what is an M/G/1 queue' are most important, but results that compare them to other queues might be interesting as well.","You want to know how to create a non-deterministic linear chain of digits, where each digit is created as a combination of the digits from a number between 1 and 999. As well you want to know how many different chain length digits can be created. How would that work? Find sources that provide more information on that topic.  You are looking for the mathematical foundations, but you are not looking for the algorithm.",0.0419328399002552,0.0,"[
  (""learn"", ""academic_field"", ""M/G/1 queue""),
  (""compare"", ""academic_field"", ""M/G/1 queue"")
]","[
  (""learn"", ""mathematics"", ""non-deterministic linear chain of digits""),
  (""analyze"", ""mathematics"", ""different chain length digits""),
  (""get_info"", ""sources"", ""mathematical foundations"")
]",0.8,1.0,0.5,0.6
7,"You are looking for the lyrics of the song ""Bangarang"" by Skrillex. You don't understand the words from the song, so you would like to take a look at the lyrics. A movie is not very handy, because there you would first have to find the specific parts you are looking for.","You want to know the origin and meaning of the ""Bluebird"" song, by the band ""The Rolling Stones"". You're specifically interested in how this song fits into the context of the ""Sympathy for the Devil"" album, which is generally known for its hard rock songs.",0.22373679280281067,0.0,"[
  (""get_info"", ""music"", ""Bangarang lyrics""),
  (""analyze"", ""music"", ""Bangarang lyrics"")
]","[
  (""learn"", ""song"", ""Bluebird""),
  (""analyze"", ""album"", ""Sympathy for the Devil""),
  (""compare"", ""album"", ""hard rock songs"")
]",0.5,0.6,0.4,0.5
8,"You want to visit Porto and are trying to find travel tips, hotels, bars,... (none)",The website www.cozycozy.com is a portal that allows you to quickly find all tourist accommodations in Portugal.,0.5581058263778687,0.4,"[
  (""explore"", ""travel"", ""Porto""),
  (""get_info"", ""travel_tips"", ""Porto""),
  (""explore"", ""accommodation"", ""hotels in Porto""),
  (""explore"", ""entertainment"", ""bars in Porto"")
]","[
  (""explore"", ""travel"", ""tourist accommodations""),
  (""get_info"", ""website"", ""www.cozycozy.com""),
  (""target"", ""location"", ""Portugal"")
]",0.8,0.8,0.5,0.6
9,"You want to buy a sony vaio laptop. Your old sony vaio laptop finally broke down, but as you were a real fan of it, you want a new laptop (not second hand) from the same brand. You will buy it over the internet, and are not looking for reviews. Top results are online stores with a large assortment of vaio laptops.",How much did they cost when you bought them? Why do they keep going up? Are they going up forever? Will they keep going up in the future?,0.15478643774986267,0.0,"[
  (""decide"", ""electronics"", ""sony vaio laptop""),
  (""plan"", ""shopping"", ""buy online""),
  (""target"", ""electronics"", ""new sony vaio laptop""),
  (""target"", ""shopping"", ""online stores with large assortment"")
]","[
  (""get_info"", ""cost"", ""them""),
  (""analyze"", ""price_trend"", ""them""),
  (""explore"", ""future_price"", ""them"")
]",0.0,0.0,0.0,0.0
