persona_id,trait_name,trait_category,inferred_value,ground_truth_value,similarity_score,confidence,rationale,is_selected
persona_001,age,demographic,38,64,0.133,0.7,"Visits parenting sites (`connectedfamilies.org`) suggesting an established family, but also conservative youth-oriented sites (`tpusa.com`), pointing to an age range of mid-30s to early 40s.",False
persona_001,sex,demographic,Male,Male,1.0,0.99,"Visited `mensgroup.com`, an online support group specifically for men.",False
persona_001,race,demographic,White alone,Black or African American alone,0.552,0.5,"A weak, probabilistic inference based on the statistical correlation in the U.S. between the strong MAGA/conservative political identity (`tpusa.com`, `ultramagastore.org`) and the White demographic.",False
persona_001,ancestry,demographic,American,Haitian,0.0,0.4,No specific data is available; this is a general inference based on the US-centric nature of all visited political and family sites.,False
persona_001,religion,demographic,Christian,Other Non-Christian Religion,0.508,0.75,"`connectedfamilies.org` is an explicitly Christian ministry, which aligns with the socially conservative political views indicated by other sites.",False
persona_001,place of birth,demographic,United States,Haiti,0.433,0.8,"All browsing, particularly the deep engagement with US-specific political organizations (`tpusa.com`, `republicanviews.org`), suggests birth within the US.",False
persona_001,citizenship,demographic,U.S. citizen,U.S. citizen by naturalization,0.706,0.9,"Engagement with US domestic politics (`republicanviews.org`, `tpusa.com`) and public safety policy (`lexipol.com`) strongly indicates US citizenship.",False
persona_001,income,demographic,85000.0,39600.0,0.773,0.5,A rough estimate for a mid-career public safety employee (inferred from `lexipol.com`) in the United States.,False
persona_001,education,demographic,"Some college, no degree",Associate's degree,0.598,0.6,"This educational level is common for professions in public safety/law enforcement, which is suggested by the visit to `lexipol.com`.",False
persona_001,employment status,occupational,"Civilian employed, at work",Not in labor force,0.416,0.8,Visit to a professional policy site (`lexipol.com`) suggests active employment in a related field.,True
persona_001,industry category,occupational,Public Administration,"ADM-Justice, Public Order, And Safety Activities",0.533,0.9,"`lexipol.com` is a leading provider of policy and training for public safety organizations, including local government and law enforcement.",False
persona_001,occupation category,occupational,Police and Sheriff's Patrol Officers,PRT-Police Officers,0.671,0.85,"`lexipol.com` is a primary resource for law enforcement agencies, making this a highly probable occupation.",False
persona_001,class of worker,occupational,Government employee - Local,State government employee,0.869,0.9,Inferred occupation as a police officer means employment by a local (city or county) government.,False
persona_001,veteran status,demographic,Non-Veteran,Non-Veteran,1.0,0.5,"There is no evidence in the browsing history to suggest military service, so the default status is assumed with low confidence.",True
persona_001,marital status,demographic,Married,Divorced,0.0,0.85,"Browsing multiple sites focused on family connection (`connectedfamilies.org`, `behappyfamily.com`) and a therapy site that offers couples counseling (`emilymaynardtherapy.com`).",False
persona_001,household type,demographic,"Married couple household, with related children","Male householder, no spouse/partner present, with relatives, no children of the householder less than 18",0.565,0.85,"A combination of visiting sites for married couples (`emilymaynardtherapy.com`) and parenting (`connectedfamilies.org`, `behappyfamily.com`).",False
persona_001,household language,demographic,English only,Other Indo-European languages,0.304,0.9,All visited domains are in English.,False
persona_001,family presence and age,demographic,Presence of own children under 18 years,No related children,0.468,0.8,Actively seeking resources on parenting and building a happy family from sites like `connectedfamilies.org` and `behappyfamily.com`.,True
persona_001,health insurance,demographic,With health insurance coverage,With health insurance coverage,1.0,0.9,The inferred profession in public safety/local government almost always includes health insurance benefits.,False
persona_001,disability,demographic,nan,None,0.305,0.6,No websites visited indicate a disability. The inferred active-duty profession also makes a physical disability less likely.,False
persona_001,ideology,psychographic,Conservative,Conservative,1.0,1.0,"Overwhelming evidence from visits to `republicanviews.org`, `tpusa.com` (Turning Point USA), and `ultramagastore.org`.",True
persona_001,political views,psychographic,Republican / MAGA,Republican,0.789,1.0,"Specific domains visited (`tpusa.com`, `ultramagastore.org`) point directly to this specific faction of the Republican party.",False
persona_001,lifestyle,behavioral,Family-oriented and politically engaged,Disciplined and structured,0.354,0.8,The browsing history is dominated by two themes: family/parenting (`connectedfamilies.org`) and conservative politics (`tpusa.com`).,False
persona_001,personal time,behavioral,Spends time with family and consumes political media,Spends free time in quiet reflection or prayer,0.422,0.7,An inference based on the two primary interests shown in the browsing history: family well-being and conservative political content.,False
persona_001,mannerisms,behavioral,Prone to stress but displays a strong sense of duty,Stern expression and authoritative tone,0.323,0.6,"Inferred from the combination of seeking mental health support (`mensgroup.com`, `emilymaynardtherapy.com`) and interest in a duty-based profession (`lexipol.com`).",False
persona_001,defining quirks,behavioral,Passionately and vocally political,"Always wears his police badge, even off-duty",0.119,0.7,"Visiting not just political news but also activist organizations (`tpusa.com`) and merchandise stores (`ultramagastore.org`) suggests a deep, expressive political identity.",False
persona_001,detailed job description,occupational,"Patrols assigned areas to enforce laws, respond to calls for service, and maintain public order.","Maintains law and order, ensures public safety, responds to emergency situations",0.672,0.8,"This is a standard job description for a Police Officer, the occupation strongly suggested by the visit to `lexipol.com`.",False
persona_001,Big Five - Agreeableness,psychographic,Average,High,0.0,0.6,"The effort to improve family harmony (`connectedfamilies.org`) suggests higher agreeableness, but the strong, uncompromising political identity (`ultramagastore.org`) suggests lower agreeableness.",False
persona_001,Big Five - Conscientiousness,psychographic,High,Extremely High,0.67,0.8,"Actively seeking resources for self-improvement and family well-being (`mensgroup.com`, `connectedfamilies.org`) and interest in a structured, rule-based profession (`lexipol.com`).",False
persona_001,Big Five - Extraversion,psychographic,Average,High,0.0,0.5,"Seeking a men's group (`mensgroup.com`) indicates a need for social connection, but seeking private therapy can suggest introversion or social anxiety, leading to an average inference.",True
persona_001,Big Five - Neuroticism,psychographic,High,Extremely Low,0.455,0.85,"Actively seeking help from a therapist (`emilymaynardtherapy.com`) and a men's support group (`mensgroup.com`) are strong indicators of dealing with stress, anxiety, or emotional difficulties.",False
persona_001,Big Five - Openness,psychographic,Low,Average,0.0,0.8,"The browsing history shows a narrow focus on a specific conservative ideology (`tpusa.com`, `republicanviews.org`) with no exploration of alternative viewpoints.",False
persona_002,age,demographic,45,79,0.0,0.7,"Browsing ""irishamericanmom.com"" suggests being a mother, while visiting policy think tanks like Brookings and KFF implies a level of maturity and established interest in complex topics, fitting a middle-aged profile.",False
persona_002,sex,demographic,Female,Male,0.0,0.98,"Visits to ""irishamericanmom.com"" and female-centric food blogs like ""recipegirl.com"" are extremely strong indicators of female identity.",False
persona_002,race,demographic,White alone,White alone,1.0,0.9,"The domain ""irishamericanmom.com"" strongly suggests Irish ancestry, which is categorized under the White racial group in U.S. census data.",False
persona_002,ancestry,demographic,Irish,Irish,1.0,0.99,"The domain ""irishamericanmom.com"" is a direct and explicit indicator of Irish ancestry and cultural identity.",False
persona_002,religion,demographic,Christian,Other Christian,0.74,0.9,"Visited ""thechristianmeditator.com"" and ""www.learnreligions.com,"" indicating a clear interest and likely adherence to Christianity.",True
persona_002,place of birth,demographic,United States,Montana/MT,0.439,0.8,"The ""American"" part of ""irishamericanmom.com"" combined with visiting U.S.-specific sites like the Department of Labor (.gov) and ""onlyinyourstate.com"" suggests U.S. birth.",True
persona_002,citizenship,demographic,U.S. citizen,Born in the United States,0.615,0.95,"Browsing U.S. government sites (dol.gov) and U.S.-focused policy research (Brookings, Pew, KFF) indicates U.S. residency and civic context.",True
persona_002,income,demographic,115000.0,106400.0,0.957,0.3,"This is a household income estimate. The interest in high-level policy (Brookings, Pew) and premium food sites (food52) suggests a middle to upper-middle-class lifestyle, likely supported by a spouse's professional income.",False
persona_002,education,demographic,Bachelor’s degree,Master's Degree,0.813,0.75,"Regularly reading research from think tanks like Pew Research, Brookings Institution, and KFF implies a level of education sufficient to comprehend and engage with academic and policy-oriented content.",False
persona_002,employment status,occupational,Not in labor force,Not in labor force,1.0,0.6,"The strong focus on ""mom"" identity and home-based activities like cooking (multiple recipe sites) suggests the person may be a homemaker. The DOL visit could be for research rather than personal employment.",False
persona_002,industry category,occupational,N/A (Homemaking),Not applicable,0.231,0.6,"Based on the inference of being a homemaker and not in the labor force, there is no formal industry category.",False
