Idx,prompts,domain_sequence,domain_count,reconstructed_prompt,sbert_similarity,llm_judge_similarity,original_prompt_triplets,reconstructed_prompt_triplets,obels_functional_equivalence,obels_domain_type_equivalence,obels_semantic_equivalence,obels_entity_granularity_tolerance
1,A friend from Kenya is visiting you and you'd like to surprise him with by cooking a traditional Swahili dish. You want to learn about Swahili dishes and how to cook them. Find web pages about Swahili home cooking.,"africageographic.com, ukuri.travel, www.tuko.co.ke, cmp.inmobi.com, www.commonground.coop, www.youtube.com",6,"""What are some popular travel destinations in Africa? Are there any unique cultural experiences or traditional dishes to try in these places?""",0.5023870468139648,0.1,"1. (""learn"", ""cuisine"", ""Swahili dishes"")
2. (""explore"", ""cooking_method"", ""Swahili home cooking"")
3. (""get_info"", ""web_pages"", ""Swahili home cooking"")","[
  (""explore"", ""travel"", ""destinations in Africa""),
  (""learn"", ""cultural experiences"", ""unique cultural experiences in Africa""),
  (""learn"", ""cuisine"", ""traditional dishes in Africa"")
]",0.8,0.6,0.5,0.7
2,"You want to know what city and state Dulles airport is in; what shuttles, ride-sharing vans, and taxi cabs connect the airport to other cities; what hotels are close to the airport; where cheap off-airport parking is; and where metro stops close to Dulles airport are.","www.expedia.com, parkingnearairports.io, unpkg.com, mc.yandex.ru, addstrap-ui.addshoppers.com, shopper.shop.pe",6,"""Find the best deals on parking near airports and compare prices. Are there any discounts or promotions available for booking through travel websites like Expedia?""",0.19861885905265808,0.2,"[
  (""get_info"", ""airport"", ""Dulles airport""),
  (""get_info"", ""transportation"", ""shuttles""),
  (""get_info"", ""transportation"", ""ride-sharing vans""),
  (""get_info"", ""transportation"", ""taxi cabs""),
  (""get_info"", ""hotel"", ""hotels near Dulles airport""),
  (""get_info"", ""parking"", ""cheap off-airport parking""),
  (""get_info"", ""transportation"", ""metro stops near Dulles airport"")
]","[
  (""explore"", ""parking"", ""deals near airports""),
  (""compare"", ""parking"", ""prices""),
  (""get_info"", ""travel websites"", ""discounts or promotions"")
]",0.5,0.8,0.4,0.6
3,Suppose you have earned a Masters degree in Business. You want to find information to help you decide whether it is worth getting a PhD in Business or not. Find web pages that will help with a cost/benefit analysis of advanced education in Business.,"www.admit.me, tags.srv.stackadapt.com, fullyfundedpg.com, secure.gravatar.com, www.youtube.com",5,"""What are the best strategies and resources for securing a fully funded postgraduate scholarship?""",0.2739032506942749,0.2,"[
  (""decide"", ""academic_field"", ""PhD in Business""),
  (""analyze"", ""academic_field"", ""advanced education in Business""),
  (""get_info"", ""web_pages"", ""cost/benefit analysis of advanced education in Business"")
]","[
  (""learn"", ""scholarship"", ""strategies for securing a fully funded postgraduate scholarship""),
  (""explore"", ""scholarship"", ""resources for securing a fully funded postgraduate scholarship"")
]",0.2,0.5,0.2,0.0
4,"Your friend would like to quit smoking. You would like to provide him with relevant information about: different ways to quit smoking, programs available to help quit smoking, benefits of quitting smoking, second effects of quitting smoking, using hypnosis to quit smoking, using the cold turkey method to quit smoking","pub.doubleverify.com, rvo-cohesion.medicalnewstoday.com, media.post.rvohealth.io, www.medicalnewstoday.com, traveler.content.now.optum.com, htlb.casalemedia.com, www.lung.org, dev.visualwebsiteoptimizer.com, dx.mountain.com, www.webmd.com, survey.o.webmd.com, c.evidon.com, healthline-activation-prod.healthline.com",13,"""What are the causes, symptoms, and treatments for lung diseases? How can one maintain lung health and prevent respiratory issues?""",0.42274266481399536,0.1,"[
  (""learn"", ""treatment_method"", ""different ways to quit smoking""),
  (""learn"", ""program"", ""programs available to help quit smoking""),
  (""learn"", ""benefit"", ""benefits of quitting smoking""),
  (""analyze"", ""effect"", ""side effects of quitting smoking""),
  (""learn"", ""treatment_method"", ""using hypnosis to quit smoking""),
  (""learn"", ""treatment_method"", ""using the cold turkey method to quit smoking"")
]","[
  (""analyze"", ""lung_disease"", ""causes""),
  (""summarize"", ""lung_disease"", ""symptoms""),
  (""explore"", ""lung_disease"", ""treatments""),
  (""learn"", ""lung_health"", ""maintenance""),
  (""explore"", ""respiratory_issues"", ""prevention"")
]",0.5,0.6,0.4,0.5
5,Suppose you are writing an article about face transplants. You want general information about face transplants and how face transplants affect the lives of patients. Find web pages about face transplants.,"my.clevelandclinic.org, pub.doubleverify.com, www.mayoclinic.org, nexus.ensighten.com, tagdelivery.mayoclinic.org, s.go-mpulse.net, xih9lsprjt.kameleoon.io, www.youtube.com, www.cnn.com, lightning.cnn.com, steadfastseat.com, btloader.com, tag.bounceexchange.com, www.dianomi.com, get.s-onetag.com, us.cnn.com, z.cdp-dev.cnn.com, news.metrohealth.org, content.presspage.com, www.magazine.medicaltourism.com",20,"""What are the benefits and risks of medical tourism? How do hospitals like Cleveland Clinic and Mayo Clinic compare in terms of services offered to international patients? Are there any recent news or case studies related to medical tourism?""",0.29983770847320557,0.0,"[
  (""get_info"", ""medical_procedure"", ""face transplants""),
  (""analyze"", ""medical_procedure"", ""impact on patients' lives""),
  (""explore"", ""web_pages"", ""face transplants"")
]","1. (""analyze"", ""medical_tourism"", ""benefits and risks"")
2. (""compare"", ""hospitals"", ""Cleveland Clinic and Mayo Clinic"")
3. (""get_info"", ""news"", ""recent news or case studies related to medical tourism"")",0.8,0.8,0.5,0.6
6,One of your friends from Kenya invited you to attend a party in his house and have a taste of traditional Swahili dishes. You would like to find some general information about Swahili dishes. Find web pages that describe traditional Swahili dishes.,"africageographic.com, ukuri.travel, www.commonground.coop, www.youtube.com, 1.bp.blogspot.com, linguafonica.com",6,"""What are some traditional African dishes and their cultural significance? Can you find recipes and cooking techniques for these dishes? Are there any videos that demonstrate how to prepare them?""",0.6873661279678345,0.5,"[
  (""get_info"", ""cuisine"", ""Swahili dishes""),
  (""target"", ""event"", ""party""),
  (""target"", ""location"", ""Kenya"")
]","[
  (""learn"", ""cuisine"", ""traditional African dishes""),
  (""analyze"", ""cuisine"", ""cultural significance of traditional African dishes""),
  (""explore"", ""cooking_method"", ""recipes for traditional African dishes""),
  (""explore"", ""cooking_method"", ""cooking techniques for traditional African dishes""),
  (""watch"", ""cooking_method"", ""videos demonstrating preparation of traditional African dishes"")
]",0.5,0.8,0.7,0.6
7,"In 2000, the Russian nuclear submarine Kursk sank in the Barents Sea. You want to try to understand: How did the political climate in Russia at the time contribute to the accident and exarcerbate its effects? Find web pages that explain how the sinking related to Russian politics.","www.rferl.org, tags.rferl.org, www.youtube.com, gdb.rferl.org, onesignal.com, www.history.co.uk, sdk.ocmthood.com, admin-pipeline.upsun-uk-1.observability-pipeline.blackfire.io, en.wikipedia.org, upload.wikimedia.org, dev.visualwebsiteoptimizer.com, engage.email.britannica.com, www.britannica.com, d9.flashtalking.com, code.getmdl.io, pbs-raptive-us.ay.delivery, prebid.production.adthrive.com, ic.ortto.app, pghub.io, exchange.postrelease.com",20,"""What are the historical and cultural impacts of the Cold War in Eastern Europe? Can you provide detailed insights from reliable sources?""",0.4294549226760864,0.2,"[
  (""analyze"", ""event"", ""Kursk submarine sinking""),
  (""learn"", ""political climate"", ""Russia 2000""),
  (""get_info"", ""web pages"", ""Kursk submarine and Russian politics"")
]","[
  (""analyze"", ""historical_cultural_impact"", ""Cold War in Eastern Europe""),
  (""get_info"", ""reliable_sources"", ""Cold War in Eastern Europe"")
]",0.8,0.5,0.5,0.6
8,"You heard something about a Russian submarine Kursk sinking today, and want to search to know more details about this event. When did the submarine sink? Who was the on-board commander of the submarine? The submarine was part of which Russian fleet? How many crewmen were lost in the disaster? Which countries expressed regret about the loss? In what sea did the submarine sink? Which U.S. submarines were reportedly in the area?","en.wikipedia.org, upload.wikimedia.org, www.eurasiantimes.com, docs.rferl.org, gdb.rferl.org",5,"""What are the current geopolitical tensions between Russia and Ukraine? What are the historical contexts and recent developments in this conflict?""",0.2877961993217468,0.0,"[
  (""learn"", ""event"", ""Kursk submarine sinking""),
  (""get_info"", ""event"", ""date of sinking""),
  (""get_info"", ""event"", ""on-board commander""),
  (""get_info"", ""event"", ""Russian fleet""),
  (""get_info"", ""event"", ""number of crewmen lost""),
  (""get_info"", ""event"", ""countries expressing regret""),
  (""get_info"", ""event"", ""sea of sinking""),
  (""get_info"", ""event"", ""U.S. submarines in the area"")
]","[
  (""learn"", ""geopolitical_tensions"", ""Russia and Ukraine""),
  (""analyze"", ""geopolitical_tensions"", ""historical contexts""),
  (""analyze"", ""geopolitical_tensions"", ""recent developments"")
]",0.5,0.5,0.4,0.6
9,"""Bollywood"", the film industry based in Mumbai, India, is one of the biggest and still fastest-growing film industries in the world. What policies and legislation has the government of India enacted to encourage its continued growth? Find web pages about the growth of Bollywood and its relation to Indian politics.","www.jetir.org, img1.wsimg.com, v2.zopim.com, asiatimes.com, btloader.com, wserver2.vidazoo.com, cds.connatix.com, usync.ingage.tech, cs.seedtag.com, vid.vidoomy.com, thediplomat.com, images.thediplomat.com, sync.sparteo.com, www.flashb.id, eu.fastcmp.com",15,"""What are the current geopolitical tensions in Asia, and how are they impacting international relations? What are the perspectives of different countries involved?""",0.1679263710975647,0.0,"[
  (""learn"", ""film_industry"", ""Bollywood""),
  (""analyze"", ""policy_area"", ""government policies and legislation for Bollywood growth""),
  (""get_info"", ""web_pages"", ""growth of Bollywood and its relation to Indian politics"")
]","[
  (""learn"", ""geopolitical_tensions"", ""Asia""),
  (""analyze"", ""international_relations"", ""impact of geopolitical tensions""),
  (""explore"", ""perspectives"", ""different countries involved"")
]",0.5,0.5,0.4,0.6
10,"Suppose you are writing an essay about a tax on ""junk food"". In your essay, you need to argue whether it's a good idea for a government to tax junk food and high-calorie snacks. Find web pages supporting an argument in favor of a junk food tax.","www.drsamrobbins.com, www.dwin1.com, www.youtube.com, koi-3qnt4q6wbg.marketingautomation.services, smct.co, www.nutritionletter.tufts.edu, load.sumome.com, sumome.com, prospluscons.com, monu.delivery, wserver2.vidazoo.com, resources.infolinks.com, static-img.vidazoo.com, www.bmj.com, badges.altmetric.com, wisepops.net, www.medtargetsystem.com, gc.bcwat.com, rev.trendmd.com, foodypage.com",20,"""What are the health benefits and potential risks of different dietary supplements? Are there any expert recommendations or studies on their effectiveness and safety?""",0.2208396941423416,0.0,"[
  (""learn"", ""tax_policy"", ""junk food tax""),
  (""explore"", ""argument"", ""support for junk food tax""),
  (""get_info"", ""web_pages"", ""arguments in favor of junk food tax"")
]","[
  (""analyze"", ""dietary_supplements"", ""health benefits""),
  (""analyze"", ""dietary_supplements"", ""potential risks""),
  (""learn"", ""dietary_supplements"", ""expert recommendations""),
  (""learn"", ""dietary_supplements"", ""studies on effectiveness""),
  (""learn"", ""dietary_supplements"", ""studies on safety"")
]",0.2,0.2,0.0,0.0
