Unnamed: 0,prompts,reconstructed_prompt,sbert_similarity,llm_judge_similarity,original_prompt_triplets,reconstructed_prompt_triplets,obels_functional_equivalence,obels_domain_type_equivalence,obels_semantic_equivalence,obels_entity_granularity_tolerance
0,"You want to find scientific publications on LHC (Large Hadron Collider (LHC)) collisions. Books or scientific video lectures are accepted, too. You want to study the most recent knowledge on the topic in depth. You expect scientific publications to be most helpful, including books (you might consider buying one), but scientific video lectures or encyclopedia might be interesting as well.","You are looking for information about CERN, the European Organization for Nuclear Research, and its connection to the Large Hadron Collider (LHC). You want to know what CERN is, what the LHC is, and what kind of research is done there. You are also interested in the results of experiments performed at the LHC, such as the discovery of the Higgs boson.",0.65069180727005,0.5,"[
  (""learn"", ""scientific_publications"", ""LHC collisions""),
  (""explore"", ""books"", ""LHC collisions""),
  (""explore"", ""video_lectures"", ""LHC collisions""),
  (""analyze"", ""recent_knowledge"", ""LHC collisions"")
]","[
  (""learn"", ""organization"", ""CERN""),
  (""learn"", ""facility"", ""Large Hadron Collider""),
  (""learn"", ""research"", ""CERN""),
  (""learn"", ""experiment"", ""Higgs boson"")
]",0.8,0.6,0.5,0.7
1,"You need information about (the pros and cons of) male circumcision You have to make a scientific overview of the latest knowledge on male circumcision, with evidence-based pros and cons, including medical, psychological, and social information. To this end, you first need to delve into the latest research, including papers, videos, books, pictures etc... Especially information on male circumcision itself is important, whereas for instance information solely focusing on the link between circumcision and HIV is less relevant.",You are looking for information about the circumcision rate in the United States. What is the current rate of circumcision in the US? Is it increasing or decreasing? What are the causes of this change?,0.6470704674720764,0.2,"[
  (""get_info"", ""medical"", ""male circumcision""),
  (""learn"", ""research"", ""latest studies on male circumcision""),
  (""analyze"", ""medical"", ""pros and cons of male circumcision""),
  (""explore"", ""psychological"", ""psychological effects of male circumcision""),
  (""explore"", ""social"", ""social implications of male circumcision""),
  (""evaluate"", ""evidence"", ""evidence-based information on male circumcision"")
]","[
  (""get_info"", ""health_statistics"", ""circumcision rate in the United States""),
  (""analyze"", ""health_statistics"", ""causes of changes in circumcision rate in the United States""),
  (""compare"", ""health_statistics"", ""current circumcision rate trends in the United States"")
]",0.8,0.6,0.5,0.7
2,"You are looking for information about a z-machine You have no idea what a z-machine is, but the colleagues are talking about it in relation to nuclear energy; and you quickly want to get at least an idea of what it is. Most relevant are pages that cover the functionality of a Z-machine, like dedicated encyclopedia articles.",You want to know the current state of nuclear fusion as a power source. You want to know how close we are to making it work. You want to know if it's still worth investing in. You want to know if it's worth spending money on. You want to know if it's worth your time. You want to know if it's worth the risk.,0.4124200940132141,0.0,"[
  (""learn"", ""nuclear_energy"", ""z-machine""),
  (""get_info"", ""encyclopedia"", ""functionality of a z-machine"")
]","[
  (""learn"", ""energy"", ""nuclear fusion""),
  (""analyze"", ""energy"", ""current state of nuclear fusion as a power source""),
  (""decide"", ""investment"", ""nuclear fusion""),
  (""decide"", ""time"", ""nuclear fusion""),
  (""decide"", ""risk"", ""nuclear fusion"")
]",0.8,0.8,0.5,0.6
3,"You are looking for a thorough text review of Howl from Allen Ginsberg. You are intrigued by Howl from Ginsberg and want to know more about it. Detailed reviews are therefore most relevant. Besides that, you are also interested in background information about Howl and Ginsberg, which you consider somewhat less relevant than the reviews.","You are looking for information about Allen Ginsberg, an American poet. You would like to know his life, his work, and how he was important to the Beat Generation. You would also like to know how his work has influenced other writers, artists, and musicians.",0.5417141318321228,0.4,"1. (""read"", ""literature"", ""Howl by Allen Ginsberg"")
2. (""learn"", ""literature"", ""background information about Howl and Allen Ginsberg"")","[
  (""learn"", ""academic_field"", ""Allen Ginsberg""),
  (""analyze"", ""literary_impact"", ""Beat Generation""),
  (""analyze"", ""influence"", ""other writers, artists, and musicians"")
]",0.8,0.8,0.6,0.7
4,"You want to find information about engineering at linkedin. You have just graduated as an engineer, and made your LinkedIn account. You are now looking for information about engineering at LinkedIn. More specifically: you need to navigate to http://engineering.linkedin.com/, although related sites might be useful, too.","You are given a list of domains visited by a web agent during a browsing session. Your task is to reconstruct the most plausible **original user prompt** that would have caused the agent to visit these domains. This prompt should reflect the likely information need or task of the user, as inferred from the domains.",0.1912860870361328,0.1,"[
  (""get_info"", ""engineering"", ""LinkedIn""),
  (""target"", ""website"", ""http://engineering.linkedin.com/"")
]","1. (""get_info"", ""web_browsing"", ""domains visited"")
2. (""analyze"", ""browsing_session"", ""user behavior"")",0.8,0.5,0.4,0.6
5,"You are looking for audiobooks by Raymond E Feist. You need to read a book from that author, but you don't know what the options are, and you don't like reading. Hence, you are looking for audiobooks: which ones are available, and where to buy them. Most important are results that provide them for sale or for download. However, pages about the correct audiobooks are also highly relevant, even when you cannot directly download or buy them on the site.","You want to find out more about a particular book. You want to know more about the book's contents, its author, the book's genre, and other related books. You are interested in fiction, preferably fantasy, but also open to other genres. You are looking for a book that is a story, and which you will be able to listen to. You are not interested in non-fiction, or in books that are not a story.",0.614846408367157,0.3,"[
  (""explore"", ""audiobook"", ""Raymond E Feist""),
  (""get_info"", ""audiobook"", ""available options""),
  (""decide"", ""purchase"", ""where to buy audiobooks""),
  (""get_info"", ""audiobook"", ""pages about audiobooks"")
]","1. (""learn"", ""book"", ""contents"")
2. (""learn"", ""book"", ""author"")
3. (""learn"", ""book"", ""genre"")
4. (""explore"", ""book"", ""related books"")
5. (""decide"", ""book"", ""fiction"")
6. (""decide"", ""book"", ""fantasy"")
7. (""decide"", ""book"", ""story"")
8. (""decide"", ""book"", ""audiobook"")",0.8,0.8,0.5,0.7
6,"You want to know what an M/G/1 queue is. You've come across that term, and want to know what it means. Results that specifically focus on 'what is an M/G/1 queue' are most important, but results that compare them to other queues might be interesting as well.",You want to know how to calculate the probability of a call being answered by an agent. You want to know the most up-to-date information available on this topic. You are looking for the most accurate information available.,0.3054659366607666,0.0,"[
  (""learn"", ""academic_field"", ""M/G/1 queue""),
  (""compare"", ""academic_field"", ""M/G/1 queue"")
]","[
  (""learn"", ""probability_calculation"", ""call answered by an agent""),
  (""get_info"", ""probability_calculation"", ""most up-to-date information""),
  (""evaluate"", ""probability_calculation"", ""most accurate information"")
]",0.5,0.5,0.4,0.6
7,"You are looking for the lyrics of the song ""Bangarang"" by Skrillex. You don't understand the words from the song, so you would like to take a look at the lyrics. A movie is not very handy, because there you would first have to find the specific parts you are looking for.","You want to know more about the band Nirvana and their song ""Come As You Are"". You are looking for the lyrics of the song, but also information about the band and the song, like when it was released, who is the main singer, who are the other members, the style of the song, the album, the record label, the producer, the genre, the band's history, the song's history, the music video, the lyrics, the meaning of the song, the song's ranking, the band's ranking, the band's awards, the band's nominations, the song's awards, the song's nominations, the band's popularity, the song's popularity, the band's influence, the song's influence, the band's legacy, the song's legacy, the band's impact, the song's impact, the band's impact on music, the song's impact on music, the band's impact on popular culture, the song's impact on popular culture, the band's impact on society, the song's impact on society, the band's impact on the world, the song's impact on the world, the band's impact on the music industry, the song's impact on the music industry, the band's impact on the music world,",0.2925022840499878,0.1,"[
  (""get_info"", ""music"", ""Bangarang by Skrillex""),
  (""analyze"", ""lyrics"", ""Bangarang by Skrillex"")
]","1. (""learn"", ""band"", ""Nirvana"")
2. (""learn"", ""song"", ""Come As You Are"")
3. (""get_info"", ""lyrics"", ""Come As You Are"")
4. (""get_info"", ""release_info"", ""Come As You Are"")
5. (""get_info"", ""main_singer"", ""Nirvana"")
6. (""get_info"", ""band_members"", ""Nirvana"")
7. (""get_info"", ""style"", ""Come As You Are"")
8. (""get_info"", ""album"", ""Come As You Are"")
9. (""get_info"", ""record_label"", ""Come As You Are"")
10. (""get_info"", ""producer"", ""Come As You Are"")
11. (""get_info"", ""genre"", ""Come As You Are"")
12. (""get_info"", ""band_history"", ""Nirvana"")
13. (""get_info"", ""song_history"", ""Come As You Are"")
14. (""get_info"", ""music_video"", ""Come As You Are"")
15. (""get_info"", ""meaning"", ""Come As You Are"")
16. (""get_info"", ""song_ranking"", ""Come As You Are"")
17. (""get_info"", ""band_ranking"", ""Nirvana"")
18. (""get_info"", ""band_awards"", ""Nirvana"")
19. (""get_info"", ""band_nominations"", ""Nirvana"")
20. (""get_info"", ""song_awards"", ""Come As You Are"")
21. (""get_info"", ""song_nominations"", ""Come As You Are"")
22. (""get_info"", ""band_popularity"", ""Nirvana"")
23. (""get_info"", ""song_popularity"", ""Come As You Are"")
24. (""get_info"", ""band_influence"", ""Nirvana"")
25. (""get_info"", ""song_influence"", ""Come As You Are"")
26. (""get_info"", ""band_legacy"", ""Nirvana"")
27. (""get_info"", ""song_legacy"", ""Come As You Are"")
28. (""get_info"", ""band_impact"", ""Nirvana"")
29. (""get_info"", ""song_impact"", ""Come As You Are"")
30. (""get_info"", ""band_impact_on_music"", ""Nirvana"")
31. (""get_info"", ""song_impact_on_music"", ""Come As You Are"")
32. (""get_info"", ""band_impact_on_popular_culture"", ""Nirvana"")
33. (""get_info"", ""song_impact_on_popular_culture"", ""Come As You Are"")
34. (""get_info"", ""band_impact_on_society"", ""Nirvana"")
35. (""get_info"", ""song_impact_on_society"", ""Come As You Are"")
36. (""get_info"", ""band_impact_on_world"", ""Nirvana"")
37. (""get_info"", ""song_impact_on_world"", ""Come As You Are"")
38. (""get_info"", ""band_impact_on_music_industry"", ""Nirvana"")
39. (""get_info"", ""song_impact_on_music_industry"", ""Come As You Are"")
40. (""get_info"", ""band_impact_on_music_world"", ""Nirvana"")",0.8,0.8,0.5,0.6
8,"You want to visit Porto and are trying to find travel tips, hotels, bars,... (none)","You are looking for restaurants in Lisbon. You want to know which ones are the best, the most expensive, the most visited, the most liked, the most popular, the most famous, the most visited, the most talked about, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the most visited, the",0.620501697063446,0.0,"[
  (""explore"", ""travel"", ""Porto""),
  (""get_info"", ""travel_tips"", ""Porto""),
  (""explore"", ""hotels"", ""Porto""),
  (""explore"", ""bars"", ""Porto"")
]","1. (""explore"", ""restaurant"", ""Lisbon"")
2. (""compare"", ""restaurant"", ""best"")
3. (""compare"", ""restaurant"", ""most expensive"")
4. (""compare"", ""restaurant"", ""most visited"")
5. (""compare"", ""restaurant"", ""most liked"")
6. (""compare"", ""restaurant"", ""most popular"")
7. (""compare"", ""restaurant"", ""most famous"")
8. (""compare"", ""restaurant"", ""most talked about"")",0.8,0.6,0.5,0.7
9,"You want to buy a sony vaio laptop. Your old sony vaio laptop finally broke down, but as you were a real fan of it, you want a new laptop (not second hand) from the same brand. You will buy it over the internet, and are not looking for reviews. Top results are online stores with a large assortment of vaio laptops.",You want to buy a new laptop. You are looking for information about the most popular laptops. You want to know which laptops are most popular. You want to know how many laptops are sold each year. You want to know what kind of laptops are most popular. You want to know how many people buy laptops. You want to know how many laptops are sold. You want to know what laptops are most popular. You want to know how many laptops are sold each year. You want to know how many laptops are sold. You want to know how many laptops are sold each year. You want to know how many people buy laptops. You want to know what kind of laptops are most popular. You want to know how many laptops are sold each year. You want to know how many laptops are sold each year. You want to know how many laptops are sold. You want to know how many laptops are sold. You want to know how many laptops are sold. You want to know how many people buy laptops. You want to know how many laptops are sold. You want to know how many laptops are sold. You want to know how many people buy laptops. You want to know how many laptops are sold. You want to know how many laptops are sold. You want to,0.2568947374820709,0.1,"[
  (""decide"", ""electronics"", ""sony vaio laptop""),
  (""plan"", ""online shopping"", ""buy new sony vaio laptop""),
  (""target"", ""online store"", ""large assortment of vaio laptops"")
]","1. (""learn"", ""technology"", ""most popular laptops"")
2. (""learn"", ""sales_data"", ""laptops sold each year"")
3. (""learn"", ""consumer_behavior"", ""people buying laptops"")
4. (""learn"", ""technology"", ""types of popular laptops"")",0.5,0.8,0.5,0.6
