Unnamed: 0,prompts,reconstructed_prompt,sbert_similarity,llm_judge_similarity,original_prompt_triplets,reconstructed_prompt_triplets,obels_functional_equivalence,obels_domain_type_equivalence,obels_semantic_equivalence,obels_entity_granularity_tolerance
0,"Who are key leaders (field grade officers and senior NCO’s) in charge of U.S. military units combating the ebola epidemic in Africa, what are the protocols for personnel safety, and what is their mission? Units from all four services were deployed to West Africa, some 3000 personnel in all, in support of U.S. and international aid workers. The military was not directly involved in treating ebola patients. Their mission was to provide support services such as facilities construction, logistics, telecommunications, road building, etc. so that the medical aid workers could function more effectively. Additionally, the research addressed safety protocols for the U.S. forces, including mandatory quarantines upon return to their home bases. Non relevant information encompasses non-U.S. military units and civilian aid workers and U.S. military units that did not deploy to Africa.","You want to know about the most current, credible information available regarding COVID-19, particularly its effects on the military and the world. You're looking for articles, studies, and other information about COVID-19. You want to know about the impact of the pandemic on the military, and you also want to know about how the pandemic is affecting the world.",0.44186991453170776,0.0,"[
  (""learn"", ""military_leadership"", ""key leaders in U.S. military units combating ebola in Africa""),
  (""get_info"", ""safety_protocols"", ""protocols for personnel safety""),
  (""analyze"", ""mission"", ""mission of U.S. military units in support of ebola aid efforts""),
  (""target"", ""military_units"", ""units from all four services deployed to West Africa""),
  (""target"", ""personnel"", ""3000 personnel in support of U.S. and international aid workers""),
  (""target"", ""support_services"", ""facilities construction, logistics, telecommunications, road building"")
]","[
  (""learn"", ""health"", ""COVID-19""),
  (""analyze"", ""impact"", ""military""),
  (""analyze"", ""impact"", ""world""),
  (""get_info"", ""articles"", ""COVID-19""),
  (""get_info"", ""studies"", ""COVID-19"")
]",0.5,0.5,0.4,0.6
1,"Identify the conspiracies circulating about Ebola. Any information on conspiracy theories about Ebola is relevant. Degree of relevance was determined by the specificity of the information. A major grey area is the difference among a conspiracy (an even caused by powerful people or groups to benefit themselves), a myth (an idea or story believed by many people but is not true), a hoax (a trick, deception, or prank), and disinformation (intentionally false or inaccurate information spread deliberately). Information clearly related to a hoax is not relevant. There probably is more data available on this topic.",You are looking for information on COVID-19. What do you want to know?,0.42838266491889954,0.0,"[
  (""learn"", ""conspiracy_theories"", ""Ebola""),
  (""analyze"", ""conspiracy_theories"", ""difference between conspiracy, myth, hoax, and disinformation""),
  (""get_info"", ""conspiracy_theories"", ""Ebola"")
]","[  
  (""get_info"", ""health"", ""COVID-19"")  
]",0.8,0.5,0.4,0.5
2,What were the healthcare impacts of the Ebola virus? The Ebola virus breakout in Africa had significant impacts on healthcare providers. What were these impacts? How much did this cost both in Africa and the rest of the world? Which healthcare companies did it affect the most?. How was healthcare insurance affected? Who paid these costs,"You want to know more about the Ebola virus, its causes, symptoms, treatment, and how it is transmitted.",0.6467928886413574,0.2,"[
  (""analyze"", ""healthcare"", ""Ebola virus impacts""),
  (""get_info"", ""cost"", ""Ebola virus healthcare impacts""),
  (""explore"", ""healthcare"", ""affected companies by Ebola""),
  (""analyze"", ""healthcare"", ""healthcare insurance effects""),
  (""get_info"", ""cost"", ""Ebola virus costs payers"")
]","[
  (""learn"", ""virus"", ""Ebola virus""),
  (""analyze"", ""virus"", ""causes""),
  (""analyze"", ""virus"", ""symptoms""),
  (""analyze"", ""virus"", ""treatment""),
  (""analyze"", ""virus"", ""transmission"")
]",0.5,0.6,0.5,0.7
3,"Find info on photo/journalist Daniel Berehulak. His professional and personal background is relevant. His assignment and activities are relevant. His contacts are relevant. This would include his editors and people he has collaborated with on stories. Individuals named in the captions of pictures he has published are also considered his contacts, since he will have had enough contact with them to learn their names and, presumably, get their permission to identify them for publication.",You want to see the most famous and most beautiful photos of people. You want to see the best photos of people. You want to see the most beautiful people. You want to see the most famous people. You want to see the best people. You want to see the most beautiful photos. You want to see the most famous photos. You want to see the most beautiful people. You want to see the most famous people. You want to see the best people. You want to see the most beautiful photos. You want to see the most famous photos. You want to see the most beautiful people. You want to see the most famous people. You want to see the best people. You want to see the most beautiful photos. You want to see the most famous photos. You want to see the most beautiful people. You want to see the most famous people. You want to see the best people. You want to see the most beautiful photos. You want to see the most famous photos. You want to see the most beautiful people. You want to see the most famous people. You want to see the best people. You want to see the most beautiful photos. You want to see the most famous photos. You want to see the most beautiful people. You want to,0.24970656633377075,0.0,"[
  (""get_info"", ""journalist"", ""Daniel Berehulak""),
  (""learn"", ""background"", ""professional and personal background of Daniel Berehulak""),
  (""explore"", ""assignment"", ""activities of Daniel Berehulak""),
  (""get_info"", ""contacts"", ""editors and collaborators of Daniel Berehulak""),
  (""get_info"", ""individuals"", ""people named in captions of pictures published by Daniel Berehulak"")
]","```plaintext
[
    (""explore"", ""photo"", ""famous photos of people""),
    (""explore"", ""photo"", ""beautiful photos of people""),
    (""explore"", ""person"", ""most beautiful people""),
    (""explore"", ""person"", ""most famous people""),
    (""explore"", ""person"", ""best people""),
    (""explore"", ""photo"", ""best photos of people"")
]
```",0.5,0.6,0.5,0.7
4,"Find information that describes ewedu as a treatment for Ebola. Any information on ewedu, an herb, as a treatment for Ebola is relevant. Recipes (other than how to prepare ewedu medicinally) and other uses for ewedu are not relevant. Search terms included alternate names for ewedu: kren-kren, corchorus, mallow leaves long-fruited vegetable",How does COVID-19 affect food? How is food affected by COVID-19? What are some food-related COVID-19 facts? What is the impact of COVID-19 on food?,0.32888689637184143,0.0,"[
  (""get_info"", ""treatment_method"", ""ewedu""),
  (""get_info"", ""treatment_method"", ""Ebola""),
  (""get_info"", ""herb"", ""kren-kren""),
  (""get_info"", ""herb"", ""corchorus""),
  (""get_info"", ""herb"", ""mallow leaves long-fruited vegetable"")
]","[
  (""analyze"", ""health"", ""COVID-19 and food""),
  (""learn"", ""health"", ""food-related COVID-19 facts"")
]",0.2,0.5,0.3,0.2
5,"What alternative treatments exist to cure or alleviate Ebola? Information on the following alleged treatments for Ebola is relevant (alternate search terms are in parentheses): essential oils, melatonin, cannabis (marijuana, pot, weed), red algae (rhodophyta), bitter kola (bitter cola), spider venom, fermented soy, condensed milk, raw onions, vitamin C (ascorbic acid, ascorbate), and saltwater (salt, saline solution). Specificity of the information, whether the treatment is a potential cure or a """"known"""" cure, and whether the treatment is supportive versus a cure determined the judgments' degree of relevancy.","You are looking for information about the disease called HIV. You want to know what it is, how it is spread, and what are the common symptoms.",0.22280128300189972,0.0,"1. (explore, treatment_method, Ebola)
2. (get_info, treatment_method, essential oils)
3. (get_info, treatment_method, melatonin)
4. (get_info, treatment_method, cannabis)
5. (get_info, treatment_method, red algae)
6. (get_info, treatment_method, bitter kola)
7. (get_info, treatment_method, spider venom)
8. (get_info, treatment_method, fermented soy)
9. (get_info, treatment_method, condensed milk)
10. (get_info, treatment_method, raw onions)
11. (get_info, treatment_method, vitamin C)
12. (get_info, treatment_method, saltwater)","[
  (""learn"", ""disease"", ""HIV""),
  (""learn"", ""transmission"", ""HIV""),
  (""learn"", ""symptoms"", ""HIV"")
]",0.2,0.5,0.2,0.0
6,"How has the movement of people from outlying rural villages to urban centers affected the spread of Ebola? Since Ebola was first discovered in 1976, the population of the affected areas in Africa has almost tripled and the percentage of people living in cities has risen dramatically. The disease hasn't changed over time, but the demographics have. Up until this latest outbreak, the disease hit mainly in rural villages, where it was more easily stopped, but now it spreads much more rapidly making it harder to contain and treat. Beyond urbanization is migration, while the virus is oblivious to borders and boundaries.","You are given a list of domains visited by a web agent during a browsing session. Your task is to reconstruct the most plausible **original user prompt** that would have caused the agent to visit these domains. This prompt should reflect the likely information need or task of the user, as inferred from the domains.",0.03699570521712303,0.0,"[
  (""analyze"", ""demographics"", ""Ebola spread""),
  (""learn"", ""historical context"", ""Ebola discovery""),
  (""explore"", ""migration patterns"", ""urbanization effects""),
  (""compare"", ""rural vs urban"", ""Ebola containment"")
]","1. (""get_info"", ""browsing_session"", ""domains visited"")
2. (""analyze"", ""browsing_session"", ""user intent"")",0.5,0.2,0.3,0.4
7,"This research centered on Dr. Olivet Buck, a Sierra Leone doctor who died of ebola after contracting the disease from her patients. Dr. Buck was the fourth Sierra Leone doctor to become infected, and when she fell ill, there was official concern, both for her personally and for the potential depletion of the country’s medical personnel. The President of Sierra Leone formally asked the World Health Organization (WHO) to evacuate Dr. Buck to Germany for treatment. WHO refused, saying they did not have the resources to evacuate anyone but their own staff, and Dr. Buck died. Relevant information included the official involvement of the Government of Sierra Leone, WHO’s response, Dr. Buck’s biography, and identification of other medical fatalities in Sierra Leone. Non-relevant information included biographic details of Dr. Buck’s colleagues beyond their names, medical fatalities in other West Africa countries, and treatment of foreign aid workers.",How did Ebola affect people in Sierra Leone? What were the effects of the disease on the population?,0.6185256838798523,0.4,"[
  (""learn"", ""academic_field"", ""Dr. Olivet Buck""),
  (""analyze"", ""event"", ""Ebola outbreak in Sierra Leone""),
  (""get_info"", ""policy_area"", ""WHO's evacuation policy""),
  (""get_info"", ""event"", ""medical fatalities in Sierra Leone""),
  (""get_info"", ""event"", ""Government of Sierra Leone's involvement""),
  (""get_info"", ""event"", ""WHO's response to Ebola outbreak"")
]","[
  (""analyze"", ""disease"", ""Ebola""),
  (""analyze"", ""population"", ""Sierra Leone"")
]",0.8,0.8,0.6,0.5
8,"The research centered on Liberian national Thomas Eric Duncan, the first person to die of ebola in the U.S. Duncan flew to the U.S. to visit relatives in Dallas, fell ill, was initially misdiagnosed at a hospital emergency room and sent home. His condition worsened, he returned to the hospital and was correctly diagnosed, but died. Two nurses who treated him subsequently contracted ebola; both recovered. Duncan’s family threatened to sue the hospital but reached a financial settlement out of court. Relevant information encompassed the postmortem repercussions, potential spread of the disease via primary and secondary contacts, Duncan's biographical information, and status of the two infected nurses. Non-relevant information included persons and activities not connected to the Duncan case, including other infected U.S. medical personnel and other fatalities in the U.S. and West Africa.",How did the COVID-19 pandemic affect the nursing workforce in Texas? How did the pandemic change the job market for nurses in Texas? What are some of the most important issues facing nurses in Texas? How has the pandemic affected the lives of nurses in Texas? What are some of the most pressing concerns of nurses in Texas?,0.29883503913879395,0.0,"[
  (""analyze"", ""case_study"", ""Thomas Eric Duncan""),
  (""learn"", ""disease_spread"", ""ebola""),
  (""summarize"", ""hospital_response"", ""misdiagnosis and treatment""),
  (""explore"", ""legal_action"", ""financial settlement""),
  (""get_info"", ""biography"", ""Thomas Eric Duncan""),
  (""get_info"", ""nurse_status"", ""two infected nurses"")
]","[
  (""analyze"", ""nursing_workforce"", ""COVID-19 pandemic""),
  (""analyze"", ""job_market"", ""nurses in Texas""),
  (""explore"", ""issues"", ""nurses in Texas""),
  (""analyze"", ""lives"", ""nurses in Texas""),
  (""explore"", ""concerns"", ""nurses in Texas"")
]",0.5,0.6,0.4,0.5
9,"What was the economic impact of the Ebola virus outbreak? The Ebola virus breakout in Africa had a wide spread economic impact, not only in Africa but in various other parts of the world. What were these impact? How extensive were the impacts? What other countries were affected? How did it impact governments in Africa and in other parts of the world? What companies did it affect? And which countries were most affected?",How is Ebola treated? What are the symptoms? How is it spread? How is it transmitted? What are the effects on the economy? What are the effects on the environment? How does it affect the health of humans?,0.6581331491470337,0.3,"[
  (""analyze"", ""economic_impact"", ""Ebola virus outbreak""),
  (""explore"", ""affected_countries"", ""Ebola virus outbreak""),
  (""explore"", ""impacted_governments"", ""Ebola virus outbreak""),
  (""explore"", ""affected_companies"", ""Ebola virus outbreak""),
  (""compare"", ""extent_of_impacts"", ""Ebola virus outbreak"")
]","[
  (""learn"", ""treatment_method"", ""Ebola""),
  (""learn"", ""symptom"", ""Ebola""),
  (""learn"", ""transmission"", ""Ebola""),
  (""analyze"", ""economic_impact"", ""Ebola""),
  (""analyze"", ""environmental_impact"", ""Ebola""),
  (""analyze"", ""health_impact"", ""Ebola"")
]",0.8,0.8,0.5,0.6
