Unnamed: 0,prompts,reconstructed_prompt,sbert_similarity,llm_judge_similarity,original_prompt_triplets,reconstructed_prompt_triplets,obels_functional_equivalence,obels_domain_type_equivalence,obels_semantic_equivalence,obels_entity_granularity_tolerance
0,"Who are key leaders (field grade officers and senior NCO’s) in charge of U.S. military units combating the ebola epidemic in Africa, what are the protocols for personnel safety, and what is their mission? Units from all four services were deployed to West Africa, some 3000 personnel in all, in support of U.S. and international aid workers. The military was not directly involved in treating ebola patients. Their mission was to provide support services such as facilities construction, logistics, telecommunications, road building, etc. so that the medical aid workers could function more effectively. Additionally, the research addressed safety protocols for the U.S. forces, including mandatory quarantines upon return to their home bases. Non relevant information encompasses non-U.S. military units and civilian aid workers and U.S. military units that did not deploy to Africa.",Are you going to war? what do you want to know about US Military's current health strategies for your military? Which region is most likely to be affected? What are the main diseases most likely to be affected in that region?,0.4877660274505615,0.1,"1. (""learn"", ""military_leadership"", ""key leaders in U.S. military units combating ebola in Africa"")
2. (""learn"", ""safety_protocols"", ""protocols for personnel safety in ebola combat"")
3. (""learn"", ""mission"", ""mission of U.S. military units in ebola response"")
4. (""target"", ""military_units"", ""U.S. military units deployed to West Africa"")
5. (""target"", ""personnel"", ""3000 personnel in support of aid workers"")
6. (""target"", ""support_services"", ""facilities construction, logistics, telecommunications, road building"") 
7. (""target"", ""safety_protocols"", ""mandatory quarantines upon return"")","[
  (""get_info"", ""military_health_strategies"", ""US Military""),
  (""analyze"", ""region"", ""most likely to be affected""),
  (""analyze"", ""disease"", ""main diseases likely to be affected"")
]",0.5,0.8,0.4,0.6
1,"Identify the conspiracies circulating about Ebola. Any information on conspiracy theories about Ebola is relevant. Degree of relevance was determined by the specificity of the information. A major grey area is the difference among a conspiracy (an even caused by powerful people or groups to benefit themselves), a myth (an idea or story believed by many people but is not true), a hoax (a trick, deception, or prank), and disinformation (intentionally false or inaccurate information spread deliberately). Information clearly related to a hoax is not relevant. There probably is more data available on this topic.","You want to know where the nearest travel clinic is so you can have a COVID-19 vaccination, you are traveling to Washington D.C., you want to know whether you need a vaccine, you want to know what vaccine is recommended, you want to know what is the most up to date information from reputable sources, you are going to want to check the CDC guidance, you are happy to be vaccinated at the airport.",0.35592612624168396,0.0,"[
  (""learn"", ""conspiracy_theory"", ""Ebola""),
  (""get_info"", ""conspiracy_theory"", ""difference between conspiracy, myth, hoax, and disinformation""),
  (""explore"", ""conspiracy_theory"", ""data available on Ebola conspiracies"")
]","1. (""learn"", ""travel_clinic"", ""nearest travel clinic"")
2. (""plan"", ""vaccination"", ""COVID-19 vaccination"")
3. (""decide"", ""vaccination_requirements"", ""need for vaccine"")
4. (""learn"", ""vaccine_recommendations"", ""recommended vaccine"")
5. (""get_info"", ""COVID-19_information"", ""most up to date information"")
6. (""explore"", ""guidance"", ""CDC guidance"")
7. (""evaluate"", ""vaccination_location"", ""vaccination at the airport"")
8. (""target"", ""location"", ""Washington D.C."")",0.2,0.2,0.0,0.0
2,What were the healthcare impacts of the Ebola virus? The Ebola virus breakout in Africa had significant impacts on healthcare providers. What were these impacts? How much did this cost both in Africa and the rest of the world? Which healthcare companies did it affect the most?. How was healthcare insurance affected? Who paid these costs,What are the clinical findings associated with each of the 21 Ebolas Virus cases that occurred in Liberia during the 2014-2016 epidemic?,0.5650777816772461,0.2,"[
  (""analyze"", ""healthcare"", ""Ebola virus impacts""),
  (""get_info"", ""cost"", ""Ebola virus healthcare costs""),
  (""explore"", ""healthcare"", ""healthcare companies affected by Ebola""),
  (""analyze"", ""healthcare"", ""healthcare insurance effects""),
  (""explore"", ""cost"", ""who paid Ebola virus costs"")
]","[
  (""learn"", ""clinical_findings"", ""Ebola Virus cases in Liberia during the 2014-2016 epidemic"")
]",0.2,0.5,0.4,0.3
3,"Find info on photo/journalist Daniel Berehulak. His professional and personal background is relevant. His assignment and activities are relevant. His contacts are relevant. This would include his editors and people he has collaborated with on stories. Individuals named in the captions of pictures he has published are also considered his contacts, since he will have had enough contact with them to learn their names and, presumably, get their permission to identify them for publication.","You are interested in learning about how photographers can produce professional images that are suitable for media use, and also look at the professional image market",0.4174398183822632,0.1,"[
  (""get_info"", ""journalist"", ""Daniel Berehulak""),
  (""learn"", ""professional background"", ""Daniel Berehulak""),
  (""learn"", ""personal background"", ""Daniel Berehulak""),
  (""explore"", ""assignment"", ""Daniel Berehulak""),
  (""explore"", ""activities"", ""Daniel Berehulak""),
  (""explore"", ""contacts"", ""Daniel Berehulak""),
  (""explore"", ""editors"", ""Daniel Berehulak""),
  (""explore"", ""collaborators"", ""Daniel Berehulak""),
  (""explore"", ""individuals in captions"", ""Daniel Berehulak"")
]","[
  (""learn"", ""photography"", ""professional images for media use""),
  (""explore"", ""market"", ""professional image market"")
]",0.5,0.5,0.4,0.6
4,"Find information that describes ewedu as a treatment for Ebola. Any information on ewedu, an herb, as a treatment for Ebola is relevant. Recipes (other than how to prepare ewedu medicinally) and other uses for ewedu are not relevant. Search terms included alternate names for ewedu: kren-kren, corchorus, mallow leaves long-fruited vegetable",You are interested in information about the impact of Covid-19 among children in Nigeria. You need to look into which state in Nigeria had the highest number of Covid-19 cases among children to determine how severely Covid-19 affected children in Nigeria. Which state has the highest number of Covid-19 cases among children?,0.27499011158943176,0.0,"[
  (""get_info"", ""treatment_method"", ""ewedu""),
  (""get_info"", ""treatment_method"", ""Ebola""),
  (""target"", ""treatment_method"", ""ewedu""),
  (""target"", ""treatment_method"", ""Ebola""),
  (""get_info"", ""herb"", ""kren-kren""),
  (""get_info"", ""herb"", ""corchorus""),
  (""get_info"", ""herb"", ""mallow leaves long-fruited vegetable"")
]","[
  (""learn"", ""impact"", ""Covid-19 among children in Nigeria""),
  (""analyze"", ""Covid-19 cases"", ""states in Nigeria""),
  (""decide"", ""state"", ""highest number of Covid-19 cases among children"")
]",0.0,0.0,0.0,0.0
5,"What alternative treatments exist to cure or alleviate Ebola? Information on the following alleged treatments for Ebola is relevant (alternate search terms are in parentheses): essential oils, melatonin, cannabis (marijuana, pot, weed), red algae (rhodophyta), bitter kola (bitter cola), spider venom, fermented soy, condensed milk, raw onions, vitamin C (ascorbic acid, ascorbate), and saltwater (salt, saline solution). Specificity of the information, whether the treatment is a potential cure or a """"known"""" cure, and whether the treatment is supportive versus a cure determined the judgments' degree of relevancy.",What is going to happen from the vaccination of the COVID-19 vaccines?,0.26254716515541077,0.0,"[
  (""explore"", ""treatment_method"", ""Ebola""),
  (""get_info"", ""treatment_method"", ""essential oils""),
  (""get_info"", ""treatment_method"", ""melatonin""),
  (""get_info"", ""treatment_method"", ""cannabis""),
  (""get_info"", ""treatment_method"", ""red algae""),
  (""get_info"", ""treatment_method"", ""bitter kola""),
  (""get_info"", ""treatment_method"", ""spider venom""),
  (""get_info"", ""treatment_method"", ""fermented soy""),
  (""get_info"", ""treatment_method"", ""condensed milk""),
  (""get_info"", ""treatment_method"", ""raw onions""),
  (""get_info"", ""treatment_method"", ""vitamin C""),
  (""get_info"", ""treatment_method"", ""saltwater"")
]","[  
  (""analyze"", ""vaccination"", ""COVID-19 vaccines"")  
]",0.0,0.0,0.0,0.0
6,"How has the movement of people from outlying rural villages to urban centers affected the spread of Ebola? Since Ebola was first discovered in 1976, the population of the affected areas in Africa has almost tripled and the percentage of people living in cities has risen dramatically. The disease hasn't changed over time, but the demographics have. Up until this latest outbreak, the disease hit mainly in rural villages, where it was more easily stopped, but now it spreads much more rapidly making it harder to contain and treat. Beyond urbanization is migration, while the virus is oblivious to borders and boundaries.",What is the risk of contracting dengue fever from outdoor activities?,0.2865906357765198,0.0,"[
  (""analyze"", ""epidemic"", ""Ebola""),
  (""analyze"", ""demographics"", ""migration from rural to urban areas""),
  (""analyze"", ""epidemic"", ""spread of Ebola due to urbanization""),
  (""analyze"", ""epidemic"", ""impact of population growth on Ebola spread"")
]","[
  (""learn"", ""health"", ""risk of contracting dengue fever""),
  (""explore"", ""activity"", ""outdoor activities"")
]",0.2,0.2,0.2,0.0
7,"This research centered on Dr. Olivet Buck, a Sierra Leone doctor who died of ebola after contracting the disease from her patients. Dr. Buck was the fourth Sierra Leone doctor to become infected, and when she fell ill, there was official concern, both for her personally and for the potential depletion of the country’s medical personnel. The President of Sierra Leone formally asked the World Health Organization (WHO) to evacuate Dr. Buck to Germany for treatment. WHO refused, saying they did not have the resources to evacuate anyone but their own staff, and Dr. Buck died. Relevant information included the official involvement of the Government of Sierra Leone, WHO’s response, Dr. Buck’s biography, and identification of other medical fatalities in Sierra Leone. Non-relevant information included biographic details of Dr. Buck’s colleagues beyond their names, medical fatalities in other West Africa countries, and treatment of foreign aid workers.","What is the current status of Ebola outbreaks around the world? How is Ebola affecting people, and what is being done to protect people around the world?",0.48829928040504456,0.1,"[
  (""learn"", ""academic_field"", ""Dr. Olivet Buck""),
  (""analyze"", ""event"", ""Ebola outbreak in Sierra Leone""),
  (""explore"", ""policy_area"", ""WHO's evacuation policy""),
  (""get_info"", ""medical_fatalities"", ""Sierra Leone""),
  (""get_info"", ""government_involvement"", ""Government of Sierra Leone""),
  (""get_info"", ""response"", ""WHO's response to Dr. Buck""),
  (""summarize"", ""biography"", ""Dr. Buck's biography"")
]","[
  (""get_info"", ""disease_outbreak"", ""Ebola""),
  (""analyze"", ""disease_impact"", ""Ebola""),
  (""explore"", ""public_health_measures"", ""Ebola"")
]",0.8,0.8,0.5,0.6
8,"The research centered on Liberian national Thomas Eric Duncan, the first person to die of ebola in the U.S. Duncan flew to the U.S. to visit relatives in Dallas, fell ill, was initially misdiagnosed at a hospital emergency room and sent home. His condition worsened, he returned to the hospital and was correctly diagnosed, but died. Two nurses who treated him subsequently contracted ebola; both recovered. Duncan’s family threatened to sue the hospital but reached a financial settlement out of court. Relevant information encompassed the postmortem repercussions, potential spread of the disease via primary and secondary contacts, Duncan's biographical information, and status of the two infected nurses. Non-relevant information included persons and activities not connected to the Duncan case, including other infected U.S. medical personnel and other fatalities in the U.S. and West Africa.","You are looking for information about Ebola virus. You’ve had no contact with infected patients and only are looking for information on how to prevent yourself, family, and the public from getting infected by the virus.",0.567901074886322,0.2,"[
  (""analyze"", ""case_study"", ""Thomas Eric Duncan""),
  (""learn"", ""disease_spread"", ""ebola""),
  (""summarize"", ""hospital_response"", ""Duncan's misdiagnosis""),
  (""explore"", ""legal_outcomes"", ""family lawsuit against hospital""),
  (""get_info"", ""biography"", ""Thomas Eric Duncan""),
  (""get_info"", ""health_status"", ""two infected nurses"")
]","[
  (""learn"", ""virus"", ""Ebola virus""),
  (""get_info"", ""prevention"", ""Ebola virus""),
  (""target"", ""audience"", ""yourself""),
  (""target"", ""audience"", ""family""),
  (""target"", ""audience"", ""public"")
]",0.8,0.6,0.8,0.7
9,"What was the economic impact of the Ebola virus outbreak? The Ebola virus breakout in Africa had a wide spread economic impact, not only in Africa but in various other parts of the world. What were these impact? How extensive were the impacts? What other countries were affected? How did it impact governments in Africa and in other parts of the world? What companies did it affect? And which countries were most affected?","Assume this is where there are no Ebola in the United States. Find documents of medical organizations and websites from the US to find information on the medical aspects of Ebola, and you could probably find those sources in the list. You would not want to look outside of the country. Are there some Ebola information that would be coming from the US? What are the medical aspects of Ebola?",0.5778228044509888,0.2,"[
  (""analyze"", ""economic_impact"", ""Ebola virus outbreak""),
  (""explore"", ""affected_countries"", ""Ebola virus outbreak""),
  (""explore"", ""affected_governments"", ""Ebola virus outbreak""),
  (""explore"", ""affected_companies"", ""Ebola virus outbreak""),
  (""analyze"", ""impact_extent"", ""Ebola virus outbreak"")
]","[
  (""get_info"", ""medical_organization"", ""Ebola""),
  (""explore"", ""website"", ""medical aspects of Ebola""),
  (""get_info"", ""medical_organization"", ""Ebola information from the US"")
]",0.5,0.6,0.5,0.7
