Unnamed: 0,prompts,reconstructed_prompt,sbert_similarity,llm_judge_similarity,original_prompt_triplets,reconstructed_prompt_triplets,obels_functional_equivalence,obels_domain_type_equivalence,obels_semantic_equivalence,obels_entity_granularity_tolerance
0,"Who are key leaders (field grade officers and senior NCO’s) in charge of U.S. military units combating the ebola epidemic in Africa, what are the protocols for personnel safety, and what is their mission? Units from all four services were deployed to West Africa, some 3000 personnel in all, in support of U.S. and international aid workers. The military was not directly involved in treating ebola patients. Their mission was to provide support services such as facilities construction, logistics, telecommunications, road building, etc. so that the medical aid workers could function more effectively. Additionally, the research addressed safety protocols for the U.S. forces, including mandatory quarantines upon return to their home bases. Non relevant information encompasses non-U.S. military units and civilian aid workers and U.S. military units that did not deploy to Africa.",You want to prepare for war with anthrax (Bacillus anthracis) spores to be used as a biological weapon? How would this impact the U.S. military and population and how to make the best out of the situation? Consider this paper on the health effects of anthrax spore released during the 2001 postal attacks. Find the military regulations concerning the use of anthrax spores as weapons. How do various countries use this weapon now? How has this changed since the SALT Treaty?,0.2631389796733856,0.0,"1. (""learn"", ""military_leadership"", ""key leaders in U.S. military units combating ebola"")
2. (""learn"", ""safety_protocols"", ""protocols for personnel safety"")
3. (""learn"", ""military_mission"", ""mission of U.S. military units in Africa"")
4. (""target"", ""military_units"", ""units from all four services deployed to West Africa"")
5. (""target"", ""personnel"", ""3000 personnel in support of U.S. and international aid workers"")
6. (""target"", ""support_services"", ""facilities construction, logistics, telecommunications, road building"") 
7. (""target"", ""safety_protocols"", ""mandatory quarantines upon return to home bases"")","1. (analyze, biological_weapon, anthrax spores)
2. (analyze, military_impact, U.S. military)
3. (analyze, population_impact, U.S. population)
4. (learn, health_effects, anthrax spore release during the 2001 postal attacks)
5. (get_info, military_regulations, anthrax spores as weapons)
6. (explore, international_practices, use of anthrax spores)
7. (compare, historical_context, changes since the SALT Treaty)",0.5,0.6,0.4,0.5
1,"Identify the conspiracies circulating about Ebola. Any information on conspiracy theories about Ebola is relevant. Degree of relevance was determined by the specificity of the information. A major grey area is the difference among a conspiracy (an even caused by powerful people or groups to benefit themselves), a myth (an idea or story believed by many people but is not true), a hoax (a trick, deception, or prank), and disinformation (intentionally false or inaccurate information spread deliberately). Information clearly related to a hoax is not relevant. There probably is more data available on this topic.",What causes yellow fever outbreaks? How often do they occur and what are the symptoms? What can be done to prevent yellow fever outbreaks?,0.26841869950294495,0.0,"[
  (""learn"", ""conspiracy_theories"", ""Ebola""),
  (""get_info"", ""conspiracy_type"", ""conspiracy""),
  (""get_info"", ""conspiracy_type"", ""myth""),
  (""get_info"", ""conspiracy_type"", ""hoax""),
  (""get_info"", ""conspiracy_type"", ""disinformation"")
]","[
  (""analyze"", ""disease"", ""yellow fever outbreaks""),
  (""learn"", ""disease"", ""yellow fever symptoms""),
  (""explore"", ""disease"", ""yellow fever prevention methods""),
  (""get_info"", ""disease"", ""yellow fever occurrence frequency"")
]",0.5,0.5,0.4,0.3
2,What were the healthcare impacts of the Ebola virus? The Ebola virus breakout in Africa had significant impacts on healthcare providers. What were these impacts? How much did this cost both in Africa and the rest of the world? Which healthcare companies did it affect the most?. How was healthcare insurance affected? Who paid these costs,"The United States wants to donate vaccines to Nigeria and other African countries. However, many African countries are skeptical of vaccines from Western countries. They are afraid about potential side effects and long-term impacts from taking vaccines made in the US. How can we convince Nigerian stakeholders to accept vaccines from the West?",0.29285067319869995,0.1,"[
  (""analyze"", ""healthcare"", ""Ebola virus impacts""),
  (""get_info"", ""cost"", ""healthcare impacts of Ebola in Africa""),
  (""get_info"", ""cost"", ""healthcare impacts of Ebola in the rest of the world""),
  (""explore"", ""healthcare"", ""companies affected by Ebola virus""),
  (""analyze"", ""healthcare"", ""healthcare insurance effects due to Ebola""),
  (""get_info"", ""cost"", ""who paid for Ebola-related healthcare costs"")
]","[
  (""analyze"", ""vaccine_donation"", ""skepticism of African countries""),
  (""explore"", ""vaccine_acceptance"", ""ways to convince Nigerian stakeholders""),
  (""learn"", ""vaccine_safety"", ""potential side effects and long-term impacts"")
]",0.2,0.5,0.3,0.4
3,"Find info on photo/journalist Daniel Berehulak. His professional and personal background is relevant. His assignment and activities are relevant. His contacts are relevant. This would include his editors and people he has collaborated with on stories. Individuals named in the captions of pictures he has published are also considered his contacts, since he will have had enough contact with them to learn their names and, presumably, get their permission to identify them for publication.","Daniel Berehulak is a photojournalist and documentary photographer based in the Philippines who has captured many moments across continents and cultures. As a Magnum photographer and member of The New York Times's team, his photographs have won numerous awards such as the 2014 Pulitzer Prize for Breaking News Photography and many World Press Photo awards since 2008. He works on various projects including on humanitarian crises, which has led him to focus on climate change, poverty and displacement, and global health.",0.6679989695549011,0.3,"[
  (""get_info"", ""journalist"", ""Daniel Berehulak""),
  (""learn"", ""journalist"", ""professional background of Daniel Berehulak""),
  (""learn"", ""journalist"", ""personal background of Daniel Berehulak""),
  (""explore"", ""assignment"", ""activities of Daniel Berehulak""),
  (""get_info"", ""contacts"", ""editors of Daniel Berehulak""),
  (""get_info"", ""contacts"", ""collaborators of Daniel Berehulak""),
  (""get_info"", ""contacts"", ""individuals named in captions of Daniel Berehulak's pictures"")
]","[
  (""learn"", ""person"", ""Daniel Berehulak""),
  (""analyze"", ""career"", ""photojournalism""),
  (""explore"", ""awards"", ""Pulitzer Prize for Breaking News Photography""),
  (""explore"", ""awards"", ""World Press Photo awards""),
  (""explore"", ""topics"", ""humanitarian crises""),
  (""explore"", ""topics"", ""climate change""),
  (""explore"", ""topics"", ""poverty and displacement""),
  (""explore"", ""topics"", ""global health""),
  (""compare"", ""photography styles"", ""documentary photography"")
]",0.8,0.6,0.5,0.7
4,"Find information that describes ewedu as a treatment for Ebola. Any information on ewedu, an herb, as a treatment for Ebola is relevant. Recipes (other than how to prepare ewedu medicinally) and other uses for ewedu are not relevant. Search terms included alternate names for ewedu: kren-kren, corchorus, mallow leaves long-fruited vegetable","As a scientist and an Africa enthusiast you want to learn more about the vaccine for yellow fever. Your goal is to create a presentation about this disease as well as its vaccine. Here, you are particularly interested in how effective the current vaccine for yellow fever has been in Africa since its first release.",0.32107406854629517,0.0,"[
  (""get_info"", ""treatment_method"", ""ewedu""),
  (""target"", ""treatment_method"", ""Ebola""),
  (""get_info"", ""treatment_method"", ""kren-kren""),
  (""get_info"", ""treatment_method"", ""corchorus""),
  (""get_info"", ""treatment_method"", ""mallow leaves long-fruited vegetable"")
]","[
  (""learn"", ""vaccine"", ""yellow fever""),
  (""learn"", ""disease"", ""yellow fever""),
  (""analyze"", ""vaccine"", ""effectiveness in Africa"")
]",0.2,0.5,0.4,0.3
5,"What alternative treatments exist to cure or alleviate Ebola? Information on the following alleged treatments for Ebola is relevant (alternate search terms are in parentheses): essential oils, melatonin, cannabis (marijuana, pot, weed), red algae (rhodophyta), bitter kola (bitter cola), spider venom, fermented soy, condensed milk, raw onions, vitamin C (ascorbic acid, ascorbate), and saltwater (salt, saline solution). Specificity of the information, whether the treatment is a potential cure or a """"known"""" cure, and whether the treatment is supportive versus a cure determined the judgments' degree of relevancy.","You are a medical student, and your professor recently gave you a homework assignment on different diseases affecting mankind in the modern era. You are interested in knowing about dengue fever, and what can be done to stop it, so you google ""dengue fever vaccine"" and start reading through some papers and journal articles.",0.35781192779541016,0.0,"[
  (""explore"", ""treatment_method"", ""Ebola""),
  (""get_info"", ""treatment_method"", ""essential oils""),
  (""get_info"", ""treatment_method"", ""melatonin""),
  (""get_info"", ""treatment_method"", ""cannabis""),
  (""get_info"", ""treatment_method"", ""red algae""),
  (""get_info"", ""treatment_method"", ""bitter kola""),
  (""get_info"", ""treatment_method"", ""spider venom""),
  (""get_info"", ""treatment_method"", ""fermented soy""),
  (""get_info"", ""treatment_method"", ""condensed milk""),
  (""get_info"", ""treatment_method"", ""raw onions""),
  (""get_info"", ""treatment_method"", ""vitamin C""),
  (""get_info"", ""treatment_method"", ""saltwater"")
]","1. (""learn"", ""disease"", ""dengue fever"")
2. (""explore"", ""treatment_method"", ""dengue fever vaccine"")",0.5,0.8,0.4,0.6
6,"How has the movement of people from outlying rural villages to urban centers affected the spread of Ebola? Since Ebola was first discovered in 1976, the population of the affected areas in Africa has almost tripled and the percentage of people living in cities has risen dramatically. The disease hasn't changed over time, but the demographics have. Up until this latest outbreak, the disease hit mainly in rural villages, where it was more easily stopped, but now it spreads much more rapidly making it harder to contain and treat. Beyond urbanization is migration, while the virus is oblivious to borders and boundaries.","You have heard about the recent outbreak of monkeypox in different countries and are concerned about the possibility of it spreading globally. You would like to find out more about the virus to assess if you might be at risk, the current containment measures being undertaken, what the virus does, and how many cases there have been.",0.349974125623703,0.0,"[
  (""analyze"", ""epidemic"", ""Ebola""),
  (""analyze"", ""demographics"", ""migration from rural villages to urban centers""),
  (""analyze"", ""urbanization"", ""spread of Ebola"")
]","[
  (""learn"", ""virus"", ""monkeypox""),
  (""analyze"", ""virus"", ""risk assessment""),
  (""explore"", ""containment measures"", ""current measures""),
  (""summarize"", ""virus"", ""effects""),
  (""get_info"", ""cases"", ""current case numbers"")
]",0.5,0.6,0.4,0.5
7,"This research centered on Dr. Olivet Buck, a Sierra Leone doctor who died of ebola after contracting the disease from her patients. Dr. Buck was the fourth Sierra Leone doctor to become infected, and when she fell ill, there was official concern, both for her personally and for the potential depletion of the country’s medical personnel. The President of Sierra Leone formally asked the World Health Organization (WHO) to evacuate Dr. Buck to Germany for treatment. WHO refused, saying they did not have the resources to evacuate anyone but their own staff, and Dr. Buck died. Relevant information included the official involvement of the Government of Sierra Leone, WHO’s response, Dr. Buck’s biography, and identification of other medical fatalities in Sierra Leone. Non-relevant information included biographic details of Dr. Buck’s colleagues beyond their names, medical fatalities in other West Africa countries, and treatment of foreign aid workers.",When did Sierra Leone declare itself free of Ebola? How much death and disease occurred in Sierra Leone during its 2014–2015 outbreak of the disease? What were the main interventions undertaken by various parties in trying to stop it?,0.6696046590805054,0.4,"[
  (""learn"", ""academic_field"", ""Dr. Olivet Buck""),
  (""analyze"", ""event"", ""ebola outbreak in Sierra Leone""),
  (""explore"", ""policy_area"", ""WHO's evacuation policies""),
  (""summarize"", ""event"", ""official involvement of the Government of Sierra Leone""),
  (""get_info"", ""treatment_method"", ""medical fatalities in Sierra Leone""),
  (""get_info"", ""biography"", ""Dr. Buck's biography""),
  (""get_info"", ""event"", ""other medical fatalities in Sierra Leone"")
]","[
  (""learn"", ""event"", ""Sierra Leone Ebola declaration""),
  (""analyze"", ""disease"", ""death and disease during 2014–2015 Ebola outbreak""),
  (""explore"", ""intervention"", ""main interventions to stop Ebola in Sierra Leone"")
]",0.8,0.6,0.5,0.7
8,"The research centered on Liberian national Thomas Eric Duncan, the first person to die of ebola in the U.S. Duncan flew to the U.S. to visit relatives in Dallas, fell ill, was initially misdiagnosed at a hospital emergency room and sent home. His condition worsened, he returned to the hospital and was correctly diagnosed, but died. Two nurses who treated him subsequently contracted ebola; both recovered. Duncan’s family threatened to sue the hospital but reached a financial settlement out of court. Relevant information encompassed the postmortem repercussions, potential spread of the disease via primary and secondary contacts, Duncan's biographical information, and status of the two infected nurses. Non-relevant information included persons and activities not connected to the Duncan case, including other infected U.S. medical personnel and other fatalities in the U.S. and West Africa.","Your assignment is to write a reflective letter for your professor and class mates about your experience as a public health nurse in the community clinic this semester. Identify the three populations you will be working with in the coming weeks and assess how the current global health problems we have been discussing in class affect these groups. Consider issues such as the effects of the new Texas laws, barriers to care access, health education and communication strategies, and social justice implications.",0.26937294006347656,0.0,"[
  (""analyze"", ""case_study"", ""Thomas Eric Duncan""),
  (""learn"", ""disease_spread"", ""ebola""),
  (""summarize"", ""biographical_info"", ""Thomas Eric Duncan""),
  (""explore"", ""medical_outcomes"", ""nurses who treated Duncan""),
  (""get_info"", ""legal_settlement"", ""hospital lawsuit""),
  (""analyze"", ""healthcare_response"", ""misdiagnosis of Duncan"")
]","[
  (""reflect"", ""assignment"", ""reflective letter""),
  (""identify"", ""population"", ""three populations""),
  (""assess"", ""global health problems"", ""effects on populations""),
  (""analyze"", ""Texas laws"", ""effects on health""),
  (""analyze"", ""barriers"", ""care access""),
  (""analyze"", ""health education"", ""communication strategies""),
  (""analyze"", ""social justice"", ""implications"")
]",0.5,0.5,0.4,0.6
9,"What was the economic impact of the Ebola virus outbreak? The Ebola virus breakout in Africa had a wide spread economic impact, not only in Africa but in various other parts of the world. What were these impact? How extensive were the impacts? What other countries were affected? How did it impact governments in Africa and in other parts of the world? What companies did it affect? And which countries were most affected?",You are considering working in the area of global health security with an international organization. One option is work at World Bank. But you are not sure whether this is what you want to do in your career. How could you use the resources that World Bank provides for its staff (and available for free online) and other sources to gain knowledge about World Bank and Global Health Security?,0.3178548216819763,0.0,"[
  (""analyze"", ""economic_impact"", ""Ebola virus outbreak""),
  (""explore"", ""affected_countries"", ""Ebola virus outbreak""),
  (""explore"", ""impacted_governments"", ""Ebola virus outbreak""),
  (""explore"", ""affected_companies"", ""Ebola virus outbreak""),
  (""compare"", ""impacts"", ""Ebola virus outbreak"")
]","[
  (""explore"", ""organization"", ""World Bank""),
  (""learn"", ""field"", ""global health security""),
  (""analyze"", ""resources"", ""World Bank resources for staff""),
  (""learn"", ""resources"", ""free online resources related to World Bank""),
  (""compare"", ""career options"", ""working at World Bank vs other organizations"")
]",0.5,0.5,0.4,0.6
