Idx,prompts,domain_sequence,domain_count
1,A friend from Kenya is visiting you and you'd like to surprise him with by cooking a traditional Swahili dish. You want to learn about Swahili dishes and how to cook them. Find web pages about Swahili home cooking.,"africageographic.com, ukuri.travel, www.tuko.co.ke, cmp.inmobi.com, www.commonground.coop, www.youtube.com",6
2,"You want to know what city and state Dulles airport is in; what shuttles, ride-sharing vans, and taxi cabs connect the airport to other cities; what hotels are close to the airport; where cheap off-airport parking is; and where metro stops close to Dulles airport are.","www.expedia.com, parkingnearairports.io, unpkg.com, mc.yandex.ru, addstrap-ui.addshoppers.com, shopper.shop.pe",6
3,Suppose you have earned a Masters degree in Business. You want to find information to help you decide whether it is worth getting a PhD in Business or not. Find web pages that will help with a cost/benefit analysis of advanced education in Business.,"www.admit.me, tags.srv.stackadapt.com, fullyfundedpg.com, secure.gravatar.com, www.youtube.com",5
4,"Your friend would like to quit smoking. You would like to provide him with relevant information about: different ways to quit smoking, programs available to help quit smoking, benefits of quitting smoking, second effects of quitting smoking, using hypnosis to quit smoking, using the cold turkey method to quit smoking","pub.doubleverify.com, rvo-cohesion.medicalnewstoday.com, media.post.rvohealth.io, www.medicalnewstoday.com, traveler.content.now.optum.com, htlb.casalemedia.com, www.lung.org, dev.visualwebsiteoptimizer.com, dx.mountain.com, www.webmd.com, survey.o.webmd.com, c.evidon.com, healthline-activation-prod.healthline.com",13
5,Suppose you are writing an article about face transplants. You want general information about face transplants and how face transplants affect the lives of patients. Find web pages about face transplants.,"my.clevelandclinic.org, pub.doubleverify.com, www.mayoclinic.org, nexus.ensighten.com, tagdelivery.mayoclinic.org, s.go-mpulse.net, xih9lsprjt.kameleoon.io, www.youtube.com, www.cnn.com, lightning.cnn.com, steadfastseat.com, btloader.com, tag.bounceexchange.com, www.dianomi.com, get.s-onetag.com, us.cnn.com, z.cdp-dev.cnn.com, news.metrohealth.org, content.presspage.com, www.magazine.medicaltourism.com",20
6,One of your friends from Kenya invited you to attend a party in his house and have a taste of traditional Swahili dishes. You would like to find some general information about Swahili dishes. Find web pages that describe traditional Swahili dishes.,"africageographic.com, ukuri.travel, www.commonground.coop, www.youtube.com, 1.bp.blogspot.com, linguafonica.com",6
7,"In 2000, the Russian nuclear submarine Kursk sank in the Barents Sea. You want to try to understand: How did the political climate in Russia at the time contribute to the accident and exarcerbate its effects? Find web pages that explain how the sinking related to Russian politics.","www.rferl.org, tags.rferl.org, www.youtube.com, gdb.rferl.org, onesignal.com, www.history.co.uk, sdk.ocmthood.com, admin-pipeline.upsun-uk-1.observability-pipeline.blackfire.io, en.wikipedia.org, upload.wikimedia.org, dev.visualwebsiteoptimizer.com, engage.email.britannica.com, www.britannica.com, d9.flashtalking.com, code.getmdl.io, pbs-raptive-us.ay.delivery, prebid.production.adthrive.com, ic.ortto.app, pghub.io, exchange.postrelease.com",20
8,"You heard something about a Russian submarine Kursk sinking today, and want to search to know more details about this event. When did the submarine sink? Who was the on-board commander of the submarine? The submarine was part of which Russian fleet? How many crewmen were lost in the disaster? Which countries expressed regret about the loss? In what sea did the submarine sink? Which U.S. submarines were reportedly in the area?","en.wikipedia.org, upload.wikimedia.org, www.eurasiantimes.com, docs.rferl.org, gdb.rferl.org",5
9,"""Bollywood"", the film industry based in Mumbai, India, is one of the biggest and still fastest-growing film industries in the world. What policies and legislation has the government of India enacted to encourage its continued growth? Find web pages about the growth of Bollywood and its relation to Indian politics.","www.jetir.org, img1.wsimg.com, v2.zopim.com, asiatimes.com, btloader.com, wserver2.vidazoo.com, cds.connatix.com, usync.ingage.tech, cs.seedtag.com, vid.vidoomy.com, thediplomat.com, images.thediplomat.com, sync.sparteo.com, www.flashb.id, eu.fastcmp.com",15
10,"Suppose you are writing an essay about a tax on ""junk food"". In your essay, you need to argue whether it's a good idea for a government to tax junk food and high-calorie snacks. Find web pages supporting an argument in favor of a junk food tax.","www.drsamrobbins.com, www.dwin1.com, www.youtube.com, koi-3qnt4q6wbg.marketingautomation.services, smct.co, www.nutritionletter.tufts.edu, load.sumome.com, sumome.com, prospluscons.com, monu.delivery, wserver2.vidazoo.com, resources.infolinks.com, static-img.vidazoo.com, www.bmj.com, badges.altmetric.com, wisepops.net, www.medtargetsystem.com, gc.bcwat.com, rev.trendmd.com, foodypage.com",20
11,Do infants age 0-12 months experience different developmental milestones depending on culture?,"pressbooks.pub, pmc.ncbi.nlm.nih.gov, dap.digitalgov.gov, online.maryville.edu, whitelabel.2u.com, prospect-form-plugin.2u.com, prospect-form-packages.2u.com, www.bournemouth.ac.uk, cues.ttl.ai",9
12,"You would like to write a report about interesting weddings traditions of different cultures, religions, and ethnic groups. Find information about wedding ceremonies that you think are the most fascinating and different than what you are used to.","www.brides.com, btloader.com, ak.sail-horizon.com, g.3gl.net, aim-tag.hcn.health, tru.am, www.medtargetsystem.com, www.vogue.com, globalservices.conde.digital, variants.conde.digital, s.skimresources.com, tag.bounceexchange.com, aam.a47b.com, static1.thetravelimages.com, static0.thetravelimages.com, www.thetravel.com, asset.fwpub1.com",17
13,"France won its first (and only) World Cup in 1998. Find information about the reaction of French people and institutions (such as stock markets), and studies about these reactions.","www.france24.com, sdk.privacy-center.org, s.france24.com, tms.fmm.io, www.researchgate.net, aim-tag.hcn.health, www.medtargetsystem.com, a.researchgate.net, live.primis.tech, video.primis.tech, htlb.casalemedia.com",11
14,"For a philosophy assignment, you need to compare evidence that supports the existence of God to evidence that supports the naturalism theory, and infer whether God exists or not. Find web pages to help support your argument.","bible.org, netbible.org, labs.bible.org, s.seedtag.com, htlb.casalemedia.com, public.servenobid.com, gosrv.pixfuture.com, upload.wikimedia.org, en.wikipedia.org, www.naturalism.org, plato.stanford.edu",11
15,"For economic reasons, you wish to switch from regular phones to internet phone services. You want to know: the best internet phone services, the cheapest internet phone services, the providers of VOIP internet phone services, features that great VOIP services have, providers that offer free calls from the US to some European countries, expert reviews about VOIP providers.","umbrella.data.naturalint.com, images.top10.com, umbrella.s3.naturalint.com, display.popt.in, www.top10.com, top5voipproviders.com",6
16,"In your attempt to get fit, you are looking for information on what possibilities (types of physical exercises, diets, etc...) will help you achieve your fitness goal. Find web pages about different weight loss possibilities.","pub.doubleverify.com, rvo-cohesion.healthline.com, media.post.rvohealth.io, content.jwplatform.com, traveler.content.now.optum.com, assets-jpcust.jwpsrv.com, aim-tag.hcn.health, ak.sail-horizon.com, www.medtargetsystem.com, www.healthline.com, www.youtube.com, www.verywellfit.com, btloader.com, g.3gl.net, tru.am, www.verywellhealth.com, tag.tapad.com, m.media-amazon.com",18
17,A friend has been complaining for months that she is unhappy with her life. She has also mentioned that she can't easily sleep at nights. You think that she may be suffering from depression. You want to understand if this is the case and how you could assist her in getting some help from medical professionals.,"my.clevelandclinic.org, pub.doubleverify.com, www.mayoclinic.org, nexus.ensighten.com, s.go-mpulse.net, tagdelivery.mayoclinic.org, xih9lsprjt.kameleoon.io, www.youtube.com, shinemh.com, www.rexulti.com, unpkg.com",11
18,Pseudocyesis is the appearance of clinical and/or subclinical signs and symptoms associated with pregnancy when the organism is not actually pregnant. What are the recent advances in understanding the causes of this disorder?,"aim-tag.hcn.health, www.researchgate.net, sdk.privacy-center.org, www.medtargetsystem.com, a.researchgate.net, live.primis.tech, video.primis.tech, htlb.casalemedia.com, www.uptodate.com, onlinelibrary.wiley.com, servedbydoceree.doceree.com, cmp.osano.com, hm.baidu.com, g.3gl.net",14
19,You are planning a winter vacation to the Pocono Mountains region in Pennsylvania in the US. Where will you stay? What will you do while there? How will you get there?,"www.vrbo.com, media.iceportal.com, imgservice.rentbyowner.com, bpprodstorage.blob.core.windows.net, www.poconomountains.com, unpkg.com, player.vimeo.com, tags.srv.stackadapt.com, collector-51300.us.tvsquared.com, www.youtube.com",10
20,"You have decided that you want to reduce the use of air conditioning in your house. You've thought that if you could protect the roof being overly hot due to sun exposure, you could keep the house temperature low without the excessive use of air conditioning. Find information of whether this is possible and how it could be done.","www.restorationroofing.com, home.howstuffworks.com, www.howstuffworks.com, ob.system1onesource.com, 9g6grky5gsg8adoov.ay.delivery, rwebf6pm2xtmbazkm.ay.delivery, htlb.casalemedia.com, a.ad.gt, p.ad.gt, hb.minutemedia-prebid.com, aam.a47b.com, www.energy.gov, www.youtube.com, dap.digitalgov.gov, heatcure.com, heatcureint.com",16
