Unnamed: 0,prompts,reconstructed_prompt,sbert_similarity,llm_judge_similarity,original_prompt_triplets,reconstructed_prompt_triplets,obels_functional_equivalence,obels_domain_type_equivalence,obels_semantic_equivalence,obels_entity_granularity_tolerance
0,A friend from Kenya is visiting you and you'd like to surprise him with by cooking a traditional Swahili dish. You want to learn about Swahili dishes and how to cook them. Find web pages about Swahili home cooking.,"You need a recipe of ugali for two, using some simple ingredients available for ingredients that you can find in Tanzania. You need to find out the best way to use potatoes as ingredients to make ugali.",0.4129486083984375,0.4,"[
  (""learn"", ""cuisine"", ""Swahili dishes""),
  (""get_info"", ""cooking_method"", ""Swahili home cooking"")
]","1. (""learn"", ""cooking_method"", ""ugali"")
2. (""target"", ""cooking_method"", ""two servings"")
3. (""target"", ""cooking_method"", ""simple ingredients"")
4. (""target"", ""cooking_method"", ""ingredients available in Tanzania"")
5. (""explore"", ""cooking_method"", ""potatoes as ingredients for ugali"")",0.8,0.8,0.6,0.7
1,"You want to know what city and state Dulles airport is in; what shuttles, ride-sharing vans, and taxi cabs connect the airport to other cities; what hotels are close to the airport; where cheap off-airport parking is; and where metro stops close to Dulles airport are.","How do you find your nearest airport, what is the parking rate, where to find the nearest hotel near the airport and what are the best airport hotels.",0.6358748078346252,0.3,"[
  (""get_info"", ""event"", ""Dulles airport location""),
  (""explore"", ""transportation"", ""shuttles connecting Dulles airport""),
  (""explore"", ""transportation"", ""ride-sharing vans connecting Dulles airport""),
  (""explore"", ""transportation"", ""taxi cabs connecting Dulles airport""),
  (""explore"", ""accommodation"", ""hotels close to Dulles airport""),
  (""explore"", ""parking"", ""cheap off-airport parking near Dulles airport""),
  (""explore"", ""transportation"", ""metro stops close to Dulles airport"")
]","[
  (""explore"", ""airport"", ""nearest airport""),
  (""get_info"", ""parking"", ""parking rate""),
  (""explore"", ""hotel"", ""nearest hotel near the airport""),
  (""compare"", ""hotel"", ""best airport hotels"")
]",0.8,0.6,0.5,0.7
2,Suppose you have earned a Masters degree in Business. You want to find information to help you decide whether it is worth getting a PhD in Business or not. Find web pages that will help with a cost/benefit analysis of advanced education in Business.,"I'm looking for the best programs for pursuing a PhD in economics (and related topics) at top-tier US universities. Specifically, I want a list of the programs and rankings. You may want to highlight schools of economics, statistics, finance, etc. (e.g. quantitative methods, econometrics).",0.3955831825733185,0.3,"[
  (""decide"", ""academic_field"", ""PhD in Business""),
  (""analyze"", ""academic_field"", ""advanced education in Business""),
  (""get_info"", ""web_pages"", ""cost/benefit analysis"")
]","[
  (""explore"", ""academic_field"", ""PhD in economics""),
  (""get_info"", ""academic_field"", ""program rankings""),
  (""highlight"", ""academic_field"", ""schools of economics""),
  (""highlight"", ""academic_field"", ""statistics""),
  (""highlight"", ""academic_field"", ""finance""),
  (""highlight"", ""academic_field"", ""quantitative methods""),
  (""highlight"", ""academic_field"", ""econometrics"")
]",0.5,1.0,0.5,0.6
3,"Your friend would like to quit smoking. You would like to provide him with relevant information about: different ways to quit smoking, programs available to help quit smoking, benefits of quitting smoking, second effects of quitting smoking, using hypnosis to quit smoking, using the cold turkey method to quit smoking",What is the prevalence of severe tobacco-use-related COPD among veterans with smoking histories?,0.2894868552684784,0.0,"[
    (""learn"", ""treatment_method"", ""different ways to quit smoking""),
    (""get_info"", ""program"", ""programs available to help quit smoking""),
    (""analyze"", ""benefit"", ""benefits of quitting smoking""),
    (""analyze"", ""side_effect"", ""second effects of quitting smoking""),
    (""explore"", ""treatment_method"", ""using hypnosis to quit smoking""),
    (""explore"", ""treatment_method"", ""using the cold turkey method to quit smoking"")
]","[
  (""learn"", ""health_condition"", ""severe tobacco-use-related COPD""),
  (""target"", ""demographic"", ""veterans""),
  (""target"", ""behavior"", ""smoking histories"")
]",0.5,0.2,0.4,0.3
4,Suppose you are writing an article about face transplants. You want general information about face transplants and how face transplants affect the lives of patients. Find web pages about face transplants.,How the military and the Federal Government can help and influence the donor system of the US (for organ harvesting and donation). Which organizations can make a difference in terms of public relations and donor relations (research of public/civic organizations) and also find out who can help disseminate information on organ donation from US to other countries.,0.3260484039783478,0.1,"[
  (""get_info"", ""medical_procedure"", ""face transplants""),
  (""analyze"", ""medical_outcome"", ""impact on patients""),
  (""explore"", ""web_resources"", ""web pages about face transplants"")
]","[
    (""analyze"", ""donor_system"", ""military influence""),
    (""analyze"", ""donor_system"", ""Federal Government influence""),
    (""explore"", ""organization"", ""public relations organizations""),
    (""explore"", ""organization"", ""donor relations organizations""),
    (""get_info"", ""public/civic organizations"", ""impact on donor system""),
    (""explore"", ""information_dissemination"", ""organ donation""),
    (""get_info"", ""countries"", ""dissemination of organ donation information"")
]",0.5,0.4,0.5,0.6
5,One of your friends from Kenya invited you to attend a party in his house and have a taste of traditional Swahili dishes. You would like to find some general information about Swahili dishes. Find web pages that describe traditional Swahili dishes.,"Is there a connection between the spice trade and the creation of Zanzibar Spice City? How was the city influenced by the spice trade? Why were Zanzibar, Tanzania and Kenya involved in spice trade?",0.43138056993484497,0.2,"[
  (""get_info"", ""cuisine"", ""traditional Swahili dishes""),
  (""explore"", ""cuisine"", ""Swahili dishes"")
]","[
  (""analyze"", ""historical_event"", ""connection between the spice trade and the creation of Zanzibar Spice City""),
  (""explore"", ""historical_event"", ""influence of the spice trade on Zanzibar Spice City""),
  (""learn"", ""historical_event"", ""involvement of Zanzibar, Tanzania, and Kenya in the spice trade"")
]",0.0,0.0,0.0,0.0
6,"In 2000, the Russian nuclear submarine Kursk sank in the Barents Sea. You want to try to understand: How did the political climate in Russia at the time contribute to the accident and exarcerbate its effects? Find web pages that explain how the sinking related to Russian politics.",You have to find out about the history and use of the Baltic Fleet and the Ukrainian military during the Russian-Ukrainian war.,0.4728202223777771,0.1,"[
  (""analyze"", ""event"", ""Kursk submarine sinking""),
  (""learn"", ""political climate"", ""Russia 2000""),
  (""get_info"", ""web pages"", ""Kursk sinking and Russian politics"")
]","[
  (""learn"", ""military_history"", ""Baltic Fleet""),
  (""learn"", ""military_history"", ""Ukrainian military""),
  (""analyze"", ""military_conflict"", ""Russian-Ukrainian war"")
]",0.5,0.6,0.4,0.5
7,"You heard something about a Russian submarine Kursk sinking today, and want to search to know more details about this event. When did the submarine sink? Who was the on-board commander of the submarine? The submarine was part of which Russian fleet? How many crewmen were lost in the disaster? Which countries expressed regret about the loss? In what sea did the submarine sink? Which U.S. submarines were reportedly in the area?","You want to find out which of the navy ships were closest to Crimea during the Black Sea incident. A ship that could be useful to you is the USS Roosevelt. A great deal of information about ship and aircraft movements in the area can be found at these online sites: www.wikipedia.org, www.theguardian.com, www.youtube.com, and www.history.com. Where can you find out about ships that have used Black Sea ports? What is the role of military ports?",0.47982272505760193,0.2,"[
  (""learn"", ""event"", ""Kursk submarine sinking""),
  (""get_info"", ""event"", ""date of sinking""),
  (""get_info"", ""event"", ""on-board commander""),
  (""get_info"", ""event"", ""Russian fleet""),
  (""get_info"", ""event"", ""crewmen lost""),
  (""get_info"", ""event"", ""countries expressing regret""),
  (""get_info"", ""event"", ""sea of sinking""),
  (""get_info"", ""event"", ""U.S. submarines in area"")
]","[
    (""learn"", ""event"", ""Black Sea incident""),
    (""explore"", ""navy_ship"", ""USS Roosevelt""),
    (""get_info"", ""website"", ""www.wikipedia.org""),
    (""get_info"", ""website"", ""www.theguardian.com""),
    (""get_info"", ""website"", ""www.youtube.com""),
    (""get_info"", ""website"", ""www.history.com""),
    (""get_info"", ""navy_ship"", ""ships that have used Black Sea ports""),
    (""learn"", ""military_port"", ""role of military ports"")
]",0.8,0.5,0.4,0.6
8,"""Bollywood"", the film industry based in Mumbai, India, is one of the biggest and still fastest-growing film industries in the world. What policies and legislation has the government of India enacted to encourage its continued growth? Find web pages about the growth of Bollywood and its relation to Indian politics.",What are some of the movies where Vijay is playing the role of a police officer?,0.32729804515838623,0.0,"[
  (""learn"", ""film_industry"", ""Bollywood""),
  (""analyze"", ""policy_area"", ""government policies for Bollywood growth""),
  (""get_info"", ""web_pages"", ""growth of Bollywood and Indian politics"")
]","[
  (""explore"", ""movie"", ""Vijay as police officer"")
]",0.2,0.5,0.2,0.0
9,"Suppose you are writing an essay about a tax on ""junk food"". In your essay, you need to argue whether it's a good idea for a government to tax junk food and high-calorie snacks. Find web pages supporting an argument in favor of a junk food tax.","You want to see which diet would result in reducing your weight, however, you also wish to be able to see what the different foods are good for. You want to do some research online. What is your current weight and your target weight?",0.20039036870002747,0.0,"[
  (""learn"", ""tax_policy"", ""junk food tax""),
  (""explore"", ""argument"", ""support for junk food tax""),
  (""get_info"", ""web_pages"", ""arguments in favor of junk food tax"")
]","[
  (""explore"", ""diet"", ""weight reduction""),
  (""learn"", ""food"", ""nutritional benefits""),
  (""get_info"", ""current weight"", ""user's current weight""),
  (""get_info"", ""target weight"", ""user's target weight"")
]",0.5,0.6,0.4,0.5
