persona_id,trait_name,trait_category,inferred_value,ground_truth_value,similarity_score,confidence,rationale,is_selected,,
persona_001,employment status,occupational,Not in labor force,Not in labor force,1,0.9,"Membership in AARP and retired police associations (narpo.org, rdpoa.org) are direct indicators of retirement.",TRUE,,
persona_001,veteran status,demographic,Veteran,Non-Veteran,0,1,"Multiple visits to VA sites (va.gov, benefits.va.gov), legion.org, honoringamericasveterans.org, and woundedwarriorproject.org provide overwhelming evidence.",TRUE,,
persona_001,family presence and age,demographic,"Married, with adult children",No related children,0.434,0.7,"Interest in connectedfamilies.org suggests a focus on maintaining relationships with family members, likely a spouse and grown children, given the user's age.",TRUE,,
persona_001,ideology,psychographic,Conservative,Conservative,1,0.95,"Direct visits to explicitly conservative and right-wing sites such as republicanviews.org, tpusa.com, and ultramagastore.org.",TRUE,,
persona_001,Big Five - Extraversion,psychographic,Average,High,0,0.6,"Engages in community and group activities (volunteer.va.gov, nnw.org) but also appears to spend significant time on solitary research and reading (bonafidebookworm.com).",TRUE,,
persona_002,religion,demographic,Christian,Other Christian,0.74,0.8,"Visited sites like thechristianmeditator.com and biblicalpathway.com, indicating an interest in or adherence to Christian faith and practices.",TRUE,,
persona_002,place of birth,demographic,Massachusetts/MA,Montana/MT,0,0.3,"Weak inference based on current deep local engagement in Amherst, MA (amherstma.gov, amherstcenterforseniorservices.com) combined with an ""Irish-American"" identity suggesting US birth.",TRUE,,
persona_002,citizenship,demographic,U.S. citizen,Born in the United States,0.615,0.95,"Browsing of US-specific government (dol.gov, amherstma.gov) and policy sites (brookings.edu), combined with the ""Irish-American"" self-identifier, strongly indicates US citizenship.",TRUE,,
persona_002,class of worker,occupational,Employee of a private not-for-profit... organization (past),Not applicable,0.054,0.5,"A plausible past employer type, given the interest in non-profit think tanks (Brookings, Pew), research institutions, and foundations (nature.org).",TRUE,,
persona_002,family presence and age,demographic,No related children under 18,No related children,0.752,0.95,"Based on the inferred senior age, it is almost certain there are no minor children present in the household.",TRUE,,
persona_007,race,demographic,Asian,Asian Indian alone,0.571,0.9,Visits to `theindianparent.com` and `littleladoo.com` (a site for Indian-inspired kids' activities) are strong indicators of South Asian heritage.,TRUE,,
persona_007,industry category,occupational,Educational Services,EDU-Elementary And Secondary Schools,0.531,1,"An overwhelming majority of domains are directly related to teaching, K-12 education, and online learning (`scholastic.com`, `weareteachers.com`, `waterford.org`).",TRUE,,
persona_007,occupation category,occupational,Elementary and Middle School Teachers,EDU-Teaching Assistants,0.597,0.9,"The nature of the teaching sites (`ducksters.com`, `scholastic.com`) and parenting sites for young children points towards K-8 education rather than high school or university.",TRUE,,
persona_007,family presence and age,demographic,"Married-couple family, with own young children",With related children 5 to 17 years only,0.604,0.8,"A combination of domains points to a nuclear family (`theindianparent.com`) with children of elementary school age or younger (`littleladoo.com`, `scholastic.com`).",TRUE,,
persona_007,Big Five - Agreeableness,psychographic,High,Average,0,0.8,"The choice of a teaching career, interest in volunteering (`volunteermatch.org`), and sites like `teach4theheart.com` all point to a high degree of empathy and cooperation.",TRUE,,
persona_009,citizenship,demographic,U.S. citizen,Born in the United States,0.615,0.95,"Browsing of U.S. government sites (`cdc.gov`, `samhsa.gov`), U.S. political think tanks, and local news (`latimes.com`) strongly indicates U.S. citizenship.",TRUE,,
persona_009,occupation category,occupational,Pharmacist,SAL-First-Line Supervisors Of Retail Sales Workers,0.238,0.99,"Over a dozen domains are directly related to the pharmacy profession, such as `digitalpharmacist.com`, `ukclinicalpharmacy.org`, and `pharmacytimes.com`.",TRUE,,
persona_009,family presence and age,demographic,No related children under 18,No family,0.553,0.9,"The focus on living ""solo"" and a lack of any browsing related to parenting, schools, or child-rearing suggests no minor children live in the home.",TRUE,,
persona_009,ideology,psychographic,Conservative,Conservative,1,0.98,"Visited multiple conservative and libertarian think tanks and publications, including `aei.org`, `manhattan.institute`, `reason.org`, and `republicanviews.org`.",TRUE,,
persona_009,detailed job description,occupational,"A licensed pharmacist, possibly in a management or consulting role, with a focus on health policy, pharmacy law, and operational safety.",Supervises retail sales workers and ensures smooth operation of the pharmacy,0.656,0.85,"This synthesizes visits to `ashp.org` (professional society), `visante.com` (consulting), `shrm.org` (HR/management), `petrieflom.law.harvard.edu` (health law), and `safetyculture.com`.",TRUE,,
persona_011,household type,demographic,Married couple household,"Married couple household, no children of the householder less than 18",0.673,0.6,"Inferred from parenting sites (`moms.com`) and family travel sites (`adventuretravelfamily.com`), suggesting a household with a spouse and children.",TRUE,,
persona_011,disability,demographic,nan,No disability,0.252,0.7,"While there is extensive research on autism, it is framed through parenting sites (`autismparentingmagazine.com`), suggesting the user is a caregiver for a child with a disability, not that they have one themselves.",TRUE,,
persona_011,political views,psychographic,Democrat,Democratic,0,0.98,"Multiple visits to official and local Democratic party websites (`democrats.org`, `www.amherstmademocrats.org`, `demcastusa.com`) provide very strong evidence.",TRUE,,
persona_011,defining quirks,behavioral,Is a serial deep-diver on niche topics,Has a deep passion for music and often breaks into song,0.155,0.6,"Exhibits intense, focused research on a wide array of unconnected topics such as dental hygiene, soundproofing (`soundproofwarrior.com`), and children's literature (`slj.com`).",TRUE,,
persona_011,detailed job description,occupational,"Works as a freelance dental hygienist, managing her own clients and business administration, likely through a platform for independent contractors.","Assists dentists in the treatment of patients. Prepares patient and equipment, performs clerical duties.",0.502,0.85,"Synthesizes evidence from professional dental sites (`dimensionsofdentalhygiene.com`), state associations (`wsda.org`), and freelance business platforms (`mbopartners.com`).",TRUE,,
persona_012,citizenship,demographic,U.S. citizen,Not a U.S. citizen,0.861,0.9,"Browsing U.S. government sites for small businesses (sba.gov), healthcare (healthcare.gov), and congressional committees indicates engagement with U.S. civic and regulatory systems.",TRUE,,
persona_012,occupation category,occupational,Food Service Managers,EAT-Chefs And Head Cooks,0.614,0.95,"The user is researching high-level business management tools (POS systems, suppliers, employee healthcare), not just recipes, indicating a managerial or ownership role.",TRUE,,
persona_012,health insurance,demographic,With health insurance coverage,With health insurance coverage,1,0.99,"Extensive research into healthcare options including healthcare.gov, bcbs.com, and multiple hospitality-specific health insurance sites (restauranthealthcare.org) shows they are actively engaged in securing coverage.",TRUE,,
