Unnamed: 0,prompts,reconstructed_prompt,sbert_similarity,llm_judge_similarity,original_prompt_triplets,reconstructed_prompt_triplets,obels_functional_equivalence,obels_domain_type_equivalence,obels_semantic_equivalence,obels_entity_granularity_tolerance
0,A friend from Kenya is visiting you and you'd like to surprise him with by cooking a traditional Swahili dish. You want to learn about Swahili dishes and how to cook them. Find web pages about Swahili home cooking.,Is the user planning a trip to East Africa?,0.31684428453445435,0.0,"[
  (""learn"", ""cuisine"", ""Swahili dishes""),
  (""explore"", ""cooking_method"", ""traditional Swahili dish""),
  (""get_info"", ""web_pages"", ""Swahili home cooking"")
]","[  
  (""plan"", ""travel"", ""East Africa"")  
]",0.2,0.2,0.0,0.0
1,"You want to know what city and state Dulles airport is in; what shuttles, ride-sharing vans, and taxi cabs connect the airport to other cities; what hotels are close to the airport; where cheap off-airport parking is; and where metro stops close to Dulles airport are.","How much would it cost to fly for 4 adults from Washington, D.C., to Rome? You wish to buy non-stop economy tickets.",0.19568568468093872,0.0,"[
  (""get_info"", ""airport"", ""Dulles airport""),
  (""get_info"", ""transportation"", ""shuttles""),
  (""get_info"", ""transportation"", ""ride-sharing vans""),
  (""get_info"", ""transportation"", ""taxi cabs""),
  (""explore"", ""accommodation"", ""hotels near Dulles airport""),
  (""explore"", ""parking"", ""cheap off-airport parking""),
  (""explore"", ""public_transport"", ""metro stops near Dulles airport"")
]","[
  (""explore"", ""flight"", ""cost for 4 adults from Washington, D.C. to Rome non-stop economy tickets"")
]",0.2,0.5,0.3,0.2
2,Suppose you have earned a Masters degree in Business. You want to find information to help you decide whether it is worth getting a PhD in Business or not. Find web pages that will help with a cost/benefit analysis of advanced education in Business.,"You're starting to find some business roles, but you need to determine a good college to start your masters. Where are the top programs that are affordable and close to home?",0.4566575884819031,0.2,"[
  (""decide"", ""academic_field"", ""PhD in Business""),
  (""analyze"", ""academic_field"", ""advanced education in Business""),
  (""get_info"", ""web_pages"", ""cost/benefit analysis of advanced education in Business"")
]","1. (""explore"", ""academic_field"", ""masters programs in business"")
2. (""target"", ""academic_field"", ""affordable business masters programs"")
3. (""target"", ""academic_field"", ""business masters programs close to home"")",0.8,1.0,0.5,0.7
3,"Your friend would like to quit smoking. You would like to provide him with relevant information about: different ways to quit smoking, programs available to help quit smoking, benefits of quitting smoking, second effects of quitting smoking, using hypnosis to quit smoking, using the cold turkey method to quit smoking",What are the risk factors for tobacco? What are some ways to get nicotine free? What can I do to quit tobacco if I want to? How do different types of drugs affect tobacco use?,0.5539096593856812,0.3,"[
  (""learn"", ""treatment_method"", ""different ways to quit smoking""),
  (""learn"", ""program"", ""programs available to help quit smoking""),
  (""learn"", ""benefit"", ""benefits of quitting smoking""),
  (""analyze"", ""effect"", ""second effects of quitting smoking""),
  (""learn"", ""treatment_method"", ""using hypnosis to quit smoking""),
  (""learn"", ""treatment_method"", ""using the cold turkey method to quit smoking"")
]","[
  (""learn"", ""health"", ""risk factors for tobacco""),
  (""explore"", ""treatment_method"", ""ways to get nicotine free""),
  (""plan"", ""treatment_method"", ""quit tobacco""),
  (""analyze"", ""drug_effects"", ""different types of drugs affecting tobacco use"")
]",0.8,0.8,0.6,0.7
4,Suppose you are writing an article about face transplants. You want general information about face transplants and how face transplants affect the lives of patients. Find web pages about face transplants.,Which medications do you know might interfere with the efficacy of the new anti-cancer drug you’re being considering?,0.11815665662288666,0.0,"[
  (""get_info"", ""medical_procedure"", ""face transplants""),
  (""analyze"", ""medical_procedure"", ""impact on patients' lives""),
  (""explore"", ""web_resources"", ""web pages about face transplants"")
]","[
  (""analyze"", ""medication"", ""interference with anti-cancer drug efficacy""),
  (""get_info"", ""medication"", ""new anti-cancer drug"")
]",0.8,0.5,0.4,0.3
5,One of your friends from Kenya invited you to attend a party in his house and have a taste of traditional Swahili dishes. You would like to find some general information about Swahili dishes. Find web pages that describe traditional Swahili dishes.,"How do you change the taste of a banana? If you add some lime juice, it tastes better.",0.11056295782327652,0.0,"[
  (""get_info"", ""cuisine"", ""traditional Swahili dishes""),
  (""target"", ""event"", ""party""),
  (""target"", ""location"", ""Kenya"")
]","[
  (""learn"", ""cooking_method"", ""change the taste of a banana""),
  (""analyze"", ""cooking_method"", ""adding lime juice to banana"")
]",0.0,0.0,0.0,0.0
6,"In 2000, the Russian nuclear submarine Kursk sank in the Barents Sea. You want to try to understand: How did the political climate in Russia at the time contribute to the accident and exarcerbate its effects? Find web pages that explain how the sinking related to Russian politics.","How did the Soviet Union fail to control all of its satellites from falling to capitalism, and what are the consequences of a satellite falling? Are Soviet satellites falling faster than they're able to control them?",0.31105801463127136,0.2,"[
  (""analyze"", ""event"", ""Kursk submarine sinking""),
  (""learn"", ""political climate"", ""Russia 2000""),
  (""get_info"", ""web pages"", ""Kursk sinking and Russian politics"")
]","[
  (""analyze"", ""historical_event"", ""Soviet Union control over satellites""),
  (""analyze"", ""historical_event"", ""consequences of satellite falling""),
  (""compare"", ""historical_event"", ""rate of Soviet satellites falling vs control"")
]",0.8,0.8,0.5,0.6
7,"You heard something about a Russian submarine Kursk sinking today, and want to search to know more details about this event. When did the submarine sink? Who was the on-board commander of the submarine? The submarine was part of which Russian fleet? How many crewmen were lost in the disaster? Which countries expressed regret about the loss? In what sea did the submarine sink? Which U.S. submarines were reportedly in the area?",Are there any more details about the bombing of the USS Liberty? Can you tell me where the bombs came from?,0.34156739711761475,0.0,"[
    (""learn"", ""event"", ""Kursk submarine sinking""),
    (""get_info"", ""event"", ""date of sinking""),
    (""get_info"", ""event"", ""on-board commander""),
    (""get_info"", ""event"", ""Russian fleet""),
    (""get_info"", ""event"", ""crewmen lost""),
    (""get_info"", ""event"", ""countries expressing regret""),
    (""get_info"", ""event"", ""sea of sinking""),
    (""get_info"", ""event"", ""U.S. submarines in area"")
]","[
  (""learn"", ""event"", ""bombing of the USS Liberty""),
  (""get_info"", ""source"", ""where the bombs came from"")
]",0.8,0.5,0.4,0.6
8,"""Bollywood"", the film industry based in Mumbai, India, is one of the biggest and still fastest-growing film industries in the world. What policies and legislation has the government of India enacted to encourage its continued growth? Find web pages about the growth of Bollywood and its relation to Indian politics.",Can anyone recommend an online course related to film directing? What are the famous institutes and universities in India that have film or movie directing programs?,0.37580928206443787,0.0,"[
  (""learn"", ""film_industry"", ""Bollywood""),
  (""analyze"", ""policy_area"", ""government policies on Bollywood growth""),
  (""get_info"", ""web_pages"", ""growth of Bollywood and its relation to Indian politics"")
]","[
  (""explore"", ""online_course"", ""film directing""),
  (""learn"", ""academic_institution"", ""film directing programs""),
  (""explore"", ""academic_institution"", ""famous institutes and universities in India"")
]",0.5,0.6,0.4,0.5
9,"Suppose you are writing an essay about a tax on ""junk food"". In your essay, you need to argue whether it's a good idea for a government to tax junk food and high-calorie snacks. Find web pages supporting an argument in favor of a junk food tax.","How is sugar consumption tied to obesity, diabetes, and cardiovascular disease?",0.16158172488212585,0.2,"[
  (""learn"", ""tax_policy"", ""junk food tax""),
  (""explore"", ""argument"", ""supporting junk food tax""),
  (""get_info"", ""web_pages"", ""arguments in favor of junk food tax"")
]","[
  (""analyze"", ""health"", ""sugar consumption""),
  (""analyze"", ""health"", ""obesity""),
  (""analyze"", ""health"", ""diabetes""),
  (""analyze"", ""health"", ""cardiovascular disease"")
]",0.5,0.5,0.4,0.6
