Unnamed: 0,prompts,reconstructed_prompt,sbert_similarity,llm_judge_similarity,original_prompt_triplets,reconstructed_prompt_triplets,obels_functional_equivalence,obels_domain_type_equivalence,obels_semantic_equivalence,obels_entity_granularity_tolerance
0,"You want to find scientific publications on LHC (Large Hadron Collider (LHC)) collisions. Books or scientific video lectures are accepted, too. You want to study the most recent knowledge on the topic in depth. You expect scientific publications to be most helpful, including books (you might consider buying one), but scientific video lectures or encyclopedia might be interesting as well.",What are some other recent findings on the detection of photons to determine if they carry the 'signature' of Dark Matter to see evidence of its existence?,0.21160918474197388,0.2,"[
  (""learn"", ""scientific_publications"", ""LHC collisions""),
  (""explore"", ""books"", ""LHC collisions""),
  (""explore"", ""video_lectures"", ""LHC collisions""),
  (""analyze"", ""knowledge"", ""recent developments in LHC collisions"")
]","[
  (""learn"", ""academic_field"", ""detection of photons and Dark Matter""),
  (""explore"", ""academic_field"", ""recent findings on Dark Matter"")
]",0.8,0.6,0.5,0.7
1,"You need information about (the pros and cons of) male circumcision You have to make a scientific overview of the latest knowledge on male circumcision, with evidence-based pros and cons, including medical, psychological, and social information. To this end, you first need to delve into the latest research, including papers, videos, books, pictures etc... Especially information on male circumcision itself is important, whereas for instance information solely focusing on the link between circumcision and HIV is less relevant.",You are a journalist looking for articles about childhood morbidity related to circumcision. What is the effect of circumcision on infant mortality?,0.6698114275932312,0.2,"[
    (""get_info"", ""medical"", ""male circumcision""),
    (""learn"", ""research"", ""latest studies on male circumcision""),
    (""analyze"", ""evidence"", ""pros and cons of male circumcision""),
    (""explore"", ""psychological"", ""impact of male circumcision""),
    (""explore"", ""social"", ""effects of male circumcision""),
    (""evaluate"", ""media"", ""papers, videos, books, pictures on male circumcision"")
]","[
  (""learn"", ""academic_field"", ""childhood morbidity related to circumcision""),
  (""analyze"", ""medical_research"", ""effect of circumcision on infant mortality"")
]",0.8,0.8,0.5,0.6
2,"You are looking for information about a z-machine You have no idea what a z-machine is, but the colleagues are talking about it in relation to nuclear energy; and you quickly want to get at least an idea of what it is. Most relevant are pages that cover the functionality of a Z-machine, like dedicated encyclopedia articles.","What was the world's first nuclear weapon, how did it get developed and why did it take so long for the world to learn about it, and what does the weapon do?",0.390643835067749,0.0,"[
  (""get_info"", ""nuclear_energy"", ""z-machine""),
  (""explore"", ""encyclopedia"", ""functionality of a Z-machine"")
]","[
  (""learn"", ""nuclear weapon"", ""world's first nuclear weapon""),
  (""analyze"", ""development process"", ""nuclear weapon""),
  (""analyze"", ""historical context"", ""delay in public knowledge about nuclear weapon""),
  (""analyze"", ""functionality"", ""nuclear weapon"")
]",0.8,0.8,0.5,0.6
3,"You are looking for a thorough text review of Howl from Allen Ginsberg. You are intrigued by Howl from Ginsberg and want to know more about it. Detailed reviews are therefore most relevant. Besides that, you are also interested in background information about Howl and Ginsberg, which you consider somewhat less relevant than the reviews.","You would like to understand what caused the events in this book to be perceived in this way. What are some of the things to consider? Find information about books, authors and the publication period of a specific book.",0.29891663789749146,0.3,"1. (""read"", ""literature"", ""Howl by Allen Ginsberg"")
2. (""learn"", ""literature"", ""background information about Howl and Allen Ginsberg"")","1. (analyze, book, events)
2. (get_info, book, authors)
3. (get_info, book, publication period)",0.8,0.8,0.5,0.7
4,"You want to find information about engineering at linkedin. You have just graduated as an engineer, and made your LinkedIn account. You are now looking for information about engineering at LinkedIn. More specifically: you need to navigate to http://engineering.linkedin.com/, although related sites might be useful, too.","You have been told how to find or learn about the following, and want to find how to select the best candidate for an entry-level software engineer position in San Diego, that has a strong skillset in web development. How do you select the best candidate from the selection of candidates in the list?",0.33617404103279114,0.0,"[
  (""get_info"", ""engineering"", ""LinkedIn""),
  (""target"", ""website"", ""http://engineering.linkedin.com/"")
]","[
  (""learn"", ""hiring_process"", ""best candidate for entry-level software engineer""),
  (""target"", ""location"", ""San Diego""),
  (""target"", ""skillset"", ""web development"")
]",0.2,0.5,0.2,0.0
5,"You are looking for audiobooks by Raymond E Feist. You need to read a book from that author, but you don't know what the options are, and you don't like reading. Hence, you are looking for audiobooks: which ones are available, and where to buy them. Most important are results that provide them for sale or for download. However, pages about the correct audiobooks are also highly relevant, even when you cannot directly download or buy them on the site.","You're looking for audiobooks to read in the library that is not available for purchase. You have an audio book in mind, and wish to download it. Unfortunately, you are not able to download from the library.",0.8371515870094299,0.2,"[
  (""explore"", ""audiobook"", ""Raymond E Feist""),
  (""get_info"", ""audiobook"", ""available options""),
  (""decide"", ""purchase"", ""where to buy audiobooks""),
  (""get_info"", ""audiobook"", ""pages about audiobooks"")
]","1. (""explore"", ""audiobook"", ""options available in the library"")
2. (""decide"", ""audiobook"", ""which audiobook to download"")
3. (""get_info"", ""library policy"", ""downloading audiobooks"")",0.8,1.0,0.5,0.6
6,"You want to know what an M/G/1 queue is. You've come across that term, and want to know what it means. Results that specifically focus on 'what is an M/G/1 queue' are most important, but results that compare them to other queues might be interesting as well.","You want to get to a specific hotel but you are able to search on the websites of flight booking companies, as well as hotel booking companies, to help find the most relevant information and the best rates. But you are only interested in hotel booking websites for your search. You are happy to use a search engine to search for these hotel booking websites. You want to find reviews and recommendations for the hotel. You want to know if there are any deals or sales ongoing. You also want to find out if you can request or add a specific request to your hotel booking.",0.16545647382736206,0.0,"[
  (""learn"", ""academic_field"", ""M/G/1 queue""),
  (""compare"", ""academic_field"", ""M/G/1 queue"")
]","1. (""explore"", ""hotel_booking"", ""hotel booking websites"")
2. (""learn"", ""hotel_booking"", ""reviews and recommendations for the hotel"")
3. (""get_info"", ""hotel_booking"", ""ongoing deals or sales"")
4. (""analyze"", ""hotel_booking"", ""specific request options for hotel booking"")",0.0,0.0,0.0,0.0
7,"You are looking for the lyrics of the song ""Bangarang"" by Skrillex. You don't understand the words from the song, so you would like to take a look at the lyrics. A movie is not very handy, because there you would first have to find the specific parts you are looking for.","How do you make a sample sound cool in a hip-hop song? Does a sample need to be high quality? Can you tell me where I can find good sample packs (e.g. websites, forums, etc)? Are there any websites where you can download drum patterns from the sample pack? What is the most popular sample of all time? Are there any hip-hop producers who use samples? Does the hip-hop genre often use live instruments or not? How can you make sure that the sample you use in your song is legally usable? What happens if you sample a melody or riff which is protected by copyright?",0.15442600846290588,0.0,"[
  (""get_info"", ""music"", ""Bangarang lyrics""),
  (""analyze"", ""music"", ""Bangarang lyrics"")
]","[
  (""learn"", ""cooking_method"", ""make a sample sound cool in a hip-hop song""),
  (""analyze"", ""audio_quality"", ""high quality samples""),
  (""explore"", ""sample_pack"", ""good sample packs""),
  (""explore"", ""website"", ""websites for downloading drum patterns""),
  (""learn"", ""sample"", ""most popular sample of all time""),
  (""explore"", ""hip-hop_producer"", ""hip-hop producers who use samples""),
  (""analyze"", ""music_genre"", ""hip-hop genre use of live instruments""),
  (""plan"", ""legal_aspect"", ""legally usable samples""),
  (""analyze"", ""copyright"", ""sampling a melody or riff protected by copyright"")
]",0.5,0.5,0.4,0.6
8,"You want to visit Porto and are trying to find travel tips, hotels, bars,... (none)","You are planning to travel to Lisbon. You are looking for tips about what to see. You want to know what to do, where to eat, where to stay, the general cost of a trip, and places where you can do things you love. You would also like to be able to book a hotel. You want the hotel to be close to the places you want to see. You want an apartment you would like to rent.",0.6453404426574707,0.3,"[
  (""explore"", ""travel"", ""Porto""),
  (""get_info"", ""travel_tips"", ""Porto""),
  (""explore"", ""hotels"", ""Porto""),
  (""explore"", ""bars"", ""Porto"")
]","1. (""plan"", ""travel"", ""Lisbon"")
2. (""explore"", ""travel"", ""tips about what to see in Lisbon"")
3. (""get_info"", ""travel"", ""what to do in Lisbon"")
4. (""get_info"", ""travel"", ""where to eat in Lisbon"")
5. (""get_info"", ""travel"", ""where to stay in Lisbon"")
6. (""get_info"", ""travel"", ""general cost of a trip to Lisbon"")
7. (""explore"", ""travel"", ""places to do things you love in Lisbon"")
8. (""book"", ""accommodation"", ""hotel in Lisbon"")
9. (""target"", ""accommodation"", ""hotel close to places to see in Lisbon"")
10. (""book"", ""accommodation"", ""apartment in Lisbon"")",0.8,0.8,0.5,0.7
9,"You want to buy a sony vaio laptop. Your old sony vaio laptop finally broke down, but as you were a real fan of it, you want a new laptop (not second hand) from the same brand. You will buy it over the internet, and are not looking for reviews. Top results are online stores with a large assortment of vaio laptops.",You need a laptop for your next trip. It should be as lightweight as possible and fit in your backpack. It should have an HD screen and a webcam and a battery.,0.36266013979911804,0.1,"[
  (""decide"", ""electronics"", ""sony vaio laptop""),
  (""plan"", ""online shopping"", ""sony vaio laptop""),
  (""explore"", ""online store"", ""vaio laptops"")
]","[
  (""explore"", ""laptop"", ""lightweight laptop""),
  (""target"", ""laptop"", ""backpack""),
  (""target"", ""laptop"", ""HD screen""),
  (""target"", ""laptop"", ""webcam""),
  (""target"", ""laptop"", ""battery"")
]",0.5,0.8,0.4,0.6
