Unnamed: 0,prompts,reconstructed_prompt,sbert_similarity,llm_judge_similarity,original_prompt_triplets,reconstructed_prompt_triplets,obels_functional_equivalence,obels_domain_type_equivalence,obels_semantic_equivalence,obels_entity_granularity_tolerance
0,A friend from Kenya is visiting you and you'd like to surprise him with by cooking a traditional Swahili dish. You want to learn about Swahili dishes and how to cook them. Find web pages about Swahili home cooking.,"Your friend is interested in the Mombasa cuisine and culture, particularly in its colonial past. They are going to visit the city soon and wants to know more about the food there. What type of dishes are usually found in the region and how do they taste like? Is there any special ingredient commonly used there? When did this cuisine develop in history? Tell me something interesting about it.",0.4806683361530304,0.5,"[
  (""learn"", ""cuisine"", ""Swahili dishes""),
  (""explore"", ""cooking_method"", ""traditional Swahili cooking""),
  (""get_info"", ""web_pages"", ""Swahili home cooking"")
]","[
  (""learn"", ""cuisine"", ""Mombasa cuisine""),
  (""explore"", ""cuisine"", ""dishes in Mombasa""),
  (""analyze"", ""cuisine"", ""taste of Mombasa dishes""),
  (""get_info"", ""cuisine"", ""special ingredients in Mombasa""),
  (""learn"", ""cuisine"", ""history of Mombasa cuisine""),
  (""get_info"", ""cuisine"", ""interesting facts about Mombasa cuisine"")
]",0.8,0.8,0.5,0.7
1,"You want to know what city and state Dulles airport is in; what shuttles, ride-sharing vans, and taxi cabs connect the airport to other cities; what hotels are close to the airport; where cheap off-airport parking is; and where metro stops close to Dulles airport are.",You're going on a business trip to Washington DC next week and you'd like to stay at one of the hotels near Washington Dulles International Airport. Do some research about the airport shuttles and car rental services. What can you find out?,0.5714225769042969,0.7,"[
  (""get_info"", ""airport"", ""Dulles airport location""),
  (""explore"", ""transportation"", ""shuttles from Dulles airport""),
  (""explore"", ""transportation"", ""ride-sharing vans from Dulles airport""),
  (""explore"", ""transportation"", ""taxi cabs from Dulles airport""),
  (""explore"", ""accommodation"", ""hotels near Dulles airport""),
  (""explore"", ""parking"", ""cheap off-airport parking near Dulles airport""),
  (""explore"", ""public_transport"", ""metro stops near Dulles airport"")
]","[
  (""plan"", ""travel"", ""business trip to Washington DC""),
  (""explore"", ""accommodation"", ""hotels near Washington Dulles International Airport""),
  (""get_info"", ""transportation"", ""airport shuttles""),
  (""get_info"", ""transportation"", ""car rental services""),
  (""target"", ""time"", ""next week"")
]",0.8,0.8,0.7,0.9
2,Suppose you have earned a Masters degree in Business. You want to find information to help you decide whether it is worth getting a PhD in Business or not. Find web pages that will help with a cost/benefit analysis of advanced education in Business.,"You're looking for some sort of alternative degree program for an MBA. You want something that's going to be more flexible and cost-efficient than traditional university programs. You'd like to know about schools that have part-time MBA's for working students, programs without GMAT requirements (or that accept GRE), and accelerated/condensed schedules.",0.37062856554985046,0.3,"[
  (""decide"", ""academic_field"", ""PhD in Business""),
  (""analyze"", ""academic_field"", ""advanced education in Business""),
  (""get_info"", ""web_pages"", ""cost/benefit analysis of advanced education in Business"")
]","[
  (""explore"", ""academic_field"", ""alternative degree programs for MBA""),
  (""get_info"", ""academic_field"", ""part-time MBA programs for working students""),
  (""get_info"", ""academic_field"", ""MBA programs without GMAT requirements""),
  (""get_info"", ""academic_field"", ""MBA programs that accept GRE""),
  (""get_info"", ""academic_field"", ""accelerated MBA programs"")
]",0.8,1.0,0.5,0.6
3,"Your friend would like to quit smoking. You would like to provide him with relevant information about: different ways to quit smoking, programs available to help quit smoking, benefits of quitting smoking, second effects of quitting smoking, using hypnosis to quit smoking, using the cold turkey method to quit smoking","Someone who has been smoking for some time is interested in smoking cessation and wants to learn about it online. Their specific questions are as follows: Why do I want to stop smoking and what are the benefits? What are some techniques I can use to quit? Is vaping safe compared to cigarettes? Can I get help on medication? What are their side effects? Is NRT therapy effective? What are some side effects and benefits of using e-cigarettes? Are there any new therapies to quit smoking? What are the challenges faced by smokers who try quitting? Finally, how much nicotine is it safe to consume?",0.6455568075180054,0.6,"[
  (""learn"", ""treatment_method"", ""different ways to quit smoking""),
  (""learn"", ""program"", ""programs available to help quit smoking""),
  (""learn"", ""benefit"", ""benefits of quitting smoking""),
  (""analyze"", ""effect"", ""side effects of quitting smoking""),
  (""learn"", ""treatment_method"", ""using hypnosis to quit smoking""),
  (""learn"", ""treatment_method"", ""using the cold turkey method to quit smoking"")
]","[
  (""learn"", ""smoking cessation"", ""benefits of quitting smoking""),
  (""analyze"", ""smoking cessation"", ""reasons to stop smoking""),
  (""explore"", ""smoking cessation"", ""techniques to quit smoking""),
  (""compare"", ""smoking products"", ""vaping vs cigarettes""),
  (""get_info"", ""medication"", ""help for quitting smoking""),
  (""analyze"", ""medication"", ""side effects of quitting smoking medications""),
  (""evaluate"", ""treatment method"", ""effectiveness of NRT therapy""),
  (""analyze"", ""e-cigarettes"", ""side effects and benefits of using e-cigarettes""),
  (""explore"", ""smoking cessation"", ""new therapies to quit smoking""),
  (""analyze"", ""smoking cessation"", ""challenges faced by smokers trying to quit""),
  (""get_info"", ""nicotine consumption"", ""safe levels of nicotine consumption"")
]",0.8,0.8,0.7,0.6
4,Suppose you are writing an article about face transplants. You want general information about face transplants and how face transplants affect the lives of patients. Find web pages about face transplants.,"You are a patient who is suffering from an organ failure that might need a transplant in near future. However, you don't want to wait too long and then risk your own life when the time comes. You were wondering if there are other ways of getting help besides waiting for your turn for the transplant. Can we explore some unconventional means?",0.2535437047481537,0.1,"[
  (""get_info"", ""medical_procedure"", ""face transplants""),
  (""analyze"", ""medical_outcome"", ""impact on patients""),
  (""explore"", ""web_pages"", ""face transplants"")
]","[
  (""explore"", ""treatment_method"", ""unconventional means for organ failure""),
  (""target"", ""urgency"", ""immediate assistance"")
]",0.5,0.6,0.4,0.5
5,One of your friends from Kenya invited you to attend a party in his house and have a taste of traditional Swahili dishes. You would like to find some general information about Swahili dishes. Find web pages that describe traditional Swahili dishes.,"Swahili is a Bantu language spoken in various countries in Africa, including Kenya, Tanzania, and Mozambique, as well as Uganda, Rwanda, and Zanzibar. It developed as a ""lingua franca"" in East Africa during the 19th century. Today it has approximately ten million speakers in East Africa and millions more in the global African diaspora. The vocabulary incorporates borrowings from Arabic (which has been used for trade in the area for many centuries) and colonial languages (English, French, and Portuguese). Although often regarded as a ""creole"", Swahili is actually a distinct language with some internal variety. What are the similarities and differences between Swahili foods in different regions?",0.5713791251182556,0.2,"[
  (""get_info"", ""cuisine"", ""traditional Swahili dishes""),
  (""target"", ""event"", ""party in Kenya"")
]","1. (learn, cuisine, Swahili foods)
2. (compare, cuisine, Swahili foods in different regions)",0.8,1.0,0.7,0.9
6,"In 2000, the Russian nuclear submarine Kursk sank in the Barents Sea. You want to try to understand: How did the political climate in Russia at the time contribute to the accident and exarcerbate its effects? Find web pages that explain how the sinking related to Russian politics.","A Russian submarine, named the Losharik, was caught in an accident that could not be salvaged. I am curious about the events and what could have happened leading up to this loss of life. Can you research and analyze the incident?",0.5207598805427551,0.3,"1. (""analyze"", ""event"", ""Kursk submarine sinking"")
2. (""learn"", ""political_climate"", ""Russia 2000"")
3. (""get_info"", ""web_pages"", ""Kursk submarine sinking and Russian politics"")","[
  (""analyze"", ""event"", ""Losharik submarine accident""),
  (""learn"", ""event"", ""causes of the incident"")
]",0.8,0.8,0.5,0.6
7,"You heard something about a Russian submarine Kursk sinking today, and want to search to know more details about this event. When did the submarine sink? Who was the on-board commander of the submarine? The submarine was part of which Russian fleet? How many crewmen were lost in the disaster? Which countries expressed regret about the loss? In what sea did the submarine sink? Which U.S. submarines were reportedly in the area?","In December 2022, Russia launched its second ballistic missile submarine from the Barents Sea. This vessel is expected to be operational in 2024. Provide a short history of Russian submarine operations and describe this latest missile submarine, including its location, when it began operation, its size, the number and type of its nuclear weapons, and the nuclear reactor used to propel it.",0.5707570910453796,0.0,"[
  (""learn"", ""event"", ""Kursk submarine sinking""),
  (""get_info"", ""event"", ""date of sinking""),
  (""get_info"", ""event"", ""on-board commander""),
  (""get_info"", ""event"", ""Russian fleet""),
  (""get_info"", ""event"", ""crewmen lost""),
  (""get_info"", ""event"", ""countries expressing regret""),
  (""get_info"", ""event"", ""sea of sinking""),
  (""get_info"", ""event"", ""U.S. submarines in area"")
]","[
  (""learn"", ""military_history"", ""Russian submarine operations""),
  (""get_info"", ""submarine"", ""latest ballistic missile submarine""),
  (""target"", ""date"", ""December 2022""),
  (""target"", ""location"", ""Barents Sea""),
  (""target"", ""date"", ""2024""),
  (""target"", ""size"", ""unknown""),
  (""target"", ""nuclear_weapons"", ""number and type of nuclear weapons""),
  (""target"", ""nuclear_reactor"", ""nuclear reactor used"")
]",0.8,0.6,0.5,0.7
8,"""Bollywood"", the film industry based in Mumbai, India, is one of the biggest and still fastest-growing film industries in the world. What policies and legislation has the government of India enacted to encourage its continued growth? Find web pages about the growth of Bollywood and its relation to Indian politics.","India's film industry, popularly known as ""Bollywood"", is one of the most prominent and successful film industries in the world. It has evolved significantly since its inception in 1913. Explore and find information about India’s famous Bollywood industry. The information should cover aspects like origins, achievements, growth, cultural influence, recent performance and more.",0.7804377675056458,0.6,"[
  (""learn"", ""policy_area"", ""Bollywood growth policies""),
  (""get_info"", ""web_pages"", ""Bollywood growth and Indian politics"")
]","[
  (""explore"", ""film_industry"", ""Bollywood""),
  (""learn"", ""film_industry"", ""origins""),
  (""learn"", ""film_industry"", ""achievements""),
  (""learn"", ""film_industry"", ""growth""),
  (""learn"", ""film_industry"", ""cultural influence""),
  (""learn"", ""film_industry"", ""recent performance"")
]",0.8,0.8,0.5,0.6
9,"Suppose you are writing an essay about a tax on ""junk food"". In your essay, you need to argue whether it's a good idea for a government to tax junk food and high-calorie snacks. Find web pages supporting an argument in favor of a junk food tax.",You have been asked to summarize the evidence on obesity-related costs and the economics of taxing sugar-sweetened beverages. You need to provide an answer to this question for the person who asked it with sources that are scholarly and written in English.,0.31316518783569336,0.3,"[
  (""learn"", ""policy_area"", ""junk food tax""),
  (""explore"", ""argument"", ""supporting junk food tax""),
  (""get_info"", ""web pages"", ""arguments in favor of junk food tax"")
]","[
  (""summarize"", ""economics"", ""obesity-related costs""),
  (""summarize"", ""economics"", ""taxing sugar-sweetened beverages""),
  (""get_info"", ""scholarly sources"", ""English"")
]",0.5,0.5,0.4,0.6
